,"(mm) Precipitation (CHIRPS) at Ratnapura, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0
"2007-01-09",19.9967
"2007-01-10",9.698
"2007-01-11",73.8716
"2007-01-12",10.6727
"2007-01-13",1.2876
"2007-01-14",1.7195
"2007-01-15",0
"2007-01-16",0.9373
"2007-01-17",0.5848
"2007-01-18",0.9265
"2007-01-19",21.7081
"2007-01-20",0
"2007-01-21",2.8613
"2007-01-22",6.6143
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",3.6298
"2007-01-27",32.8165
"2007-01-28",0
"2007-01-29",0.4052
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0.8065
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0
"2007-02-11",4.0003
"2007-02-12",1.4329
"2007-02-13",0
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0
"2007-02-17",0.4247
"2007-02-18",0
"2007-02-19",1.0365
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",9.9792
"2007-02-25",31.6088
"2007-02-26",2.8118
"2007-02-27",8.8444
"2007-02-28",0.4144
"2007-03-01",0
"2007-03-02",4.2682
"2007-03-03",4.152
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0.2442
"2007-03-12",2.6761
"2007-03-13",4.6039
"2007-03-14",0.4002
"2007-03-15",16.4656
"2007-03-16",8.9637
"2007-03-17",5.0545
"2007-03-18",0.6334
"2007-03-19",0.2235
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",10.2004
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",1.3019
"2007-03-30",12.2087
"2007-03-31",10.8057
"2007-04-01",15.4693
"2007-04-02",12.5232
"2007-04-03",21.7092
"2007-04-04",17.0436
"2007-04-05",28.5971
"2007-04-06",36.7033
"2007-04-07",47.3239
"2007-04-08",47.4363
"2007-04-09",40.3213
"2007-04-10",31.1085
"2007-04-11",22.0527
"2007-04-12",8.255
"2007-04-13",22.5362
"2007-04-14",5.8757
"2007-04-15",5.5819
"2007-04-16",0.1499
"2007-04-17",0
"2007-04-18",0
"2007-04-19",8.187
"2007-04-20",1.3974
"2007-04-21",7.1937
"2007-04-22",14.8156
"2007-04-23",17.9496
"2007-04-24",11.1955
"2007-04-25",13.9344
"2007-04-26",15.3997
"2007-04-27",18.3341
"2007-04-28",14.65
"2007-04-29",18.3798
"2007-04-30",12.5885
"2007-05-01",0.0816
"2007-05-02",0
"2007-05-03",7.6036
"2007-05-04",3.9511
"2007-05-05",14.3525
"2007-05-06",6.1259
"2007-05-07",8.2503
"2007-05-08",1.021
"2007-05-09",8.5222
"2007-05-10",5.0526
"2007-05-11",7.7141
"2007-05-12",20.6866
"2007-05-13",0
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0.0198
"2007-05-19",0.3008
"2007-05-20",0.0004
"2007-05-21",0
"2007-05-22",0.0333
"2007-05-23",12.2598
"2007-05-24",8.7487
"2007-05-25",1.0076
"2007-05-26",0
"2007-05-27",7.0845
"2007-05-28",86.9105
"2007-05-29",5.1312
"2007-05-30",0.1157
"2007-05-31",0.6048
"2007-06-01",11.54
"2007-06-02",0
"2007-06-03",1.4174
"2007-06-04",5.3706
"2007-06-05",10.511
"2007-06-06",1.6018
"2007-06-07",2.1578
"2007-06-08",3.8504
"2007-06-09",0
"2007-06-10",0
"2007-06-11",0
"2007-06-12",4.6223
"2007-06-13",19.6764
"2007-06-14",78.4328
"2007-06-15",42.3913
"2007-06-16",9.8041
"2007-06-17",9.9262
"2007-06-18",19.6658
"2007-06-19",30.7451
"2007-06-20",14.9815
"2007-06-21",55.3339
"2007-06-22",39.7724
"2007-06-23",6.1901
"2007-06-24",15.8345
"2007-06-25",1.5291
"2007-06-26",23.8216
"2007-06-27",0.0996
"2007-06-28",13.2262
"2007-06-29",0.193
"2007-06-30",0
"2007-07-01",0.2743
"2007-07-02",0.2333
"2007-07-03",21.2525
"2007-07-04",23.3095
"2007-07-05",0
"2007-07-06",1.4332
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0.6981
"2007-07-11",4.4831
"2007-07-12",5.5538
"2007-07-13",0.0956
"2007-07-14",0
"2007-07-15",1.6732
"2007-07-16",5.4036
"2007-07-17",6.1644
"2007-07-18",6.9922
"2007-07-19",10.9123
"2007-07-20",7.5027
"2007-07-21",1.3198
"2007-07-22",3.21
"2007-07-23",38.4335
"2007-07-24",15.4682
"2007-07-25",0.0342
"2007-07-26",0
"2007-07-27",0
"2007-07-28",0
"2007-07-29",19.9471
"2007-07-30",12.6711
"2007-07-31",3.2314
"2007-08-01",6.3178
"2007-08-02",12.161
"2007-08-03",3.253
"2007-08-04",0
"2007-08-05",0
"2007-08-06",0
"2007-08-07",0
"2007-08-08",0
"2007-08-09",1.2074
"2007-08-10",9.0527
"2007-08-11",15.7126
"2007-08-12",1.0475
"2007-08-13",0.1318
"2007-08-14",0
"2007-08-15",0
"2007-08-16",0.0232
"2007-08-17",0
"2007-08-18",2.7233
"2007-08-19",13.0207
"2007-08-20",0.0458
"2007-08-21",8.0098
"2007-08-22",0
"2007-08-23",20.7582
"2007-08-24",14.4848
"2007-08-25",18.7806
"2007-08-26",2.6503
"2007-08-27",13.4773
"2007-08-28",1.7962
"2007-08-29",26.3318
"2007-08-30",51.6958
"2007-08-31",33.7275
"2007-09-01",9.2221
"2007-09-02",0.1467
"2007-09-03",0
"2007-09-04",2.6785
"2007-09-05",4.8972
"2007-09-06",0
"2007-09-07",28.2724
"2007-09-08",27.8183
"2007-09-09",36.023
"2007-09-10",0.0979
"2007-09-11",12.8225
"2007-09-12",0.1612
"2007-09-13",11.1563
"2007-09-14",3.0406
"2007-09-15",18.4093
"2007-09-16",4.966
"2007-09-17",34.1283
"2007-09-18",4.231
"2007-09-19",0.2102
"2007-09-20",6.4788
"2007-09-21",0.482
"2007-09-22",10.2236
"2007-09-23",0
"2007-09-24",0.4334
"2007-09-25",0
"2007-09-26",3.3465
"2007-09-27",8.5826
"2007-09-28",10.5031
"2007-09-29",0.0212
"2007-09-30",0
"2007-10-01",0.0401
"2007-10-02",16.8342
"2007-10-03",20.6936
"2007-10-04",0
"2007-10-05",7.4158
"2007-10-06",33.5644
"2007-10-07",3.4123
"2007-10-08",2.4522
"2007-10-09",12.5173
"2007-10-10",13.5489
"2007-10-11",9.604
"2007-10-12",5.5906
"2007-10-13",5.1127
"2007-10-14",27.2285
"2007-10-15",25.9033
"2007-10-16",19.7799
"2007-10-17",20.3918
"2007-10-18",20.9077
"2007-10-19",9.5175
"2007-10-20",9.8639
"2007-10-21",13.2025
"2007-10-22",11.563
"2007-10-23",12.1212
"2007-10-24",3.4386
"2007-10-25",27.0964
"2007-10-26",22.8195
"2007-10-27",9.4758
"2007-10-28",0.0351
"2007-10-29",0
"2007-10-30",0
"2007-10-31",8.6143
"2007-11-01",14.2985
"2007-11-02",16.992
"2007-11-03",8.3648
"2007-11-04",15.7973
"2007-11-05",15.3384
"2007-11-06",14.2628
"2007-11-07",9.5917
"2007-11-08",6.9328
"2007-11-09",5.3243
"2007-11-10",6.1862
"2007-11-11",9.6521
"2007-11-12",26.53
"2007-11-13",1.2217
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",9.6304
"2007-11-20",8.8615
"2007-11-21",7.6498
"2007-11-22",4.9532
"2007-11-23",9.6265
"2007-11-24",19.5886
"2007-11-25",12.4776
"2007-11-26",6.1371
"2007-11-27",0
"2007-11-28",0.0019
"2007-11-29",12.2118
"2007-11-30",0
"2007-12-01",0
"2007-12-02",3.034
"2007-12-03",13.6637
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",1.2296
"2007-12-08",3.5678
"2007-12-09",7.9394
"2007-12-10",3.7763
"2007-12-11",1.1786
"2007-12-12",21.2176
"2007-12-13",7.7576
"2007-12-14",22.1039
"2007-12-15",21.7778
"2007-12-16",12.1523
"2007-12-17",2.3898
"2007-12-18",7.7698
"2007-12-19",4.5205
"2007-12-20",14.332
"2007-12-21",24.9428
"2007-12-22",6.203
"2007-12-23",12.5084
"2007-12-24",0
"2007-12-25",0.4633
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0.4535
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",11.1986
"2008-01-04",6.9364
"2008-01-05",0
"2008-01-06",2.1716
"2008-01-07",1.4023
"2008-01-08",13.8929
"2008-01-09",17.2541
"2008-01-10",25.4728
"2008-01-11",0.6472
"2008-01-12",9.0947
"2008-01-13",8.0417
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",10.6414
"2008-01-22",4.8215
"2008-01-23",0
"2008-01-24",0.4788
"2008-01-25",8.2102
"2008-01-26",4.0737
"2008-01-27",5.9696
"2008-01-28",2.5299
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0
"2008-02-02",0.0207
"2008-02-03",0
"2008-02-04",1.3755
"2008-02-05",0
"2008-02-06",9.9407
"2008-02-07",19.565
"2008-02-08",11.6337
"2008-02-09",0.9846
"2008-02-10",0.1779
"2008-02-11",9.9432
"2008-02-12",23.6541
"2008-02-13",0.7229
"2008-02-14",3.4049
"2008-02-15",0.5121
"2008-02-16",0
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0.058
"2008-02-20",12.5141
"2008-02-21",14.9625
"2008-02-22",7.191
"2008-02-23",0
"2008-02-24",0.4602
"2008-02-25",0
"2008-02-26",0.1048
"2008-02-27",14.2537
"2008-02-28",0.0245
"2008-02-29",0
"2008-03-01",9.6109
"2008-03-02",18.7403
"2008-03-03",27.8156
"2008-03-04",18.0222
"2008-03-05",21.1064
"2008-03-06",20.5606
"2008-03-07",2.396
"2008-03-08",0
"2008-03-09",29.3233
"2008-03-10",5.3115
"2008-03-11",42.3148
"2008-03-12",85.5181
"2008-03-13",11.3885
"2008-03-14",37.3519
"2008-03-15",75.3287
"2008-03-16",34.7
"2008-03-17",41.7416
"2008-03-18",7.5007
"2008-03-19",17.4263
"2008-03-20",0.6859
"2008-03-21",0.7492
"2008-03-22",0.8753
"2008-03-23",0.4208
"2008-03-24",28.2087
"2008-03-25",2.8106
"2008-03-26",7.1756
"2008-03-27",11.4209
"2008-03-28",18.4511
"2008-03-29",7.3819
"2008-03-30",11.6937
"2008-03-31",4.094
"2008-04-01",7.9932
"2008-04-02",19.9785
"2008-04-03",5.2601
"2008-04-04",6.046
"2008-04-05",17.6202
"2008-04-06",14.7271
"2008-04-07",21.0308
"2008-04-08",22.0327
"2008-04-09",19.5016
"2008-04-10",29.0589
"2008-04-11",16.3058
"2008-04-12",13.5903
"2008-04-13",11.4073
"2008-04-14",12.2713
"2008-04-15",6.8954
"2008-04-16",20.0403
"2008-04-17",7.7539
"2008-04-18",14.469
"2008-04-19",12.0187
"2008-04-20",0.1187
"2008-04-21",0.3777
"2008-04-22",1.937
"2008-04-23",14.9788
"2008-04-24",14.5158
"2008-04-25",5.9957
"2008-04-26",9.4504
"2008-04-27",27.1193
"2008-04-28",48.1639
"2008-04-29",9.2782
"2008-04-30",0.4176
"2008-05-01",0.1197
"2008-05-02",0
"2008-05-03",0
"2008-05-04",2.3091
"2008-05-05",2.4386
"2008-05-06",6.2982
"2008-05-07",4.1079
"2008-05-08",3.2689
"2008-05-09",8.3061
"2008-05-10",0
"2008-05-11",0
"2008-05-12",13.8615
"2008-05-13",0.3192
"2008-05-14",3.1069
"2008-05-15",0
"2008-05-16",0.233
"2008-05-17",0
"2008-05-18",0.053
"2008-05-19",0.0187
"2008-05-20",0
"2008-05-21",0
"2008-05-22",25.8711
"2008-05-23",0.1828
"2008-05-24",0
"2008-05-25",9.378
"2008-05-26",13.0437
"2008-05-27",17.0573
"2008-05-28",6.2882
"2008-05-29",17.9676
"2008-05-30",10.8804
"2008-05-31",11.3335
"2008-06-01",62.6842
"2008-06-02",32.1957
"2008-06-03",15.6535
"2008-06-04",0.2111
"2008-06-05",0
