,"(mm) Precipitation (CHIRPS) at Trincomalee, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0.0104
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",2.8953
"2007-01-09",31.9114
"2007-01-10",1.9978
"2007-01-11",0.4889
"2007-01-12",0.8996
"2007-01-13",0
"2007-01-14",0
"2007-01-15",0
"2007-01-16",3.8655
"2007-01-17",4.08
"2007-01-18",0
"2007-01-19",18.5212
"2007-01-20",12.2266
"2007-01-21",5.8438
"2007-01-22",0
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",44.9337
"2007-01-27",64.106
"2007-01-28",6.945
"2007-01-29",0
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0.3617
"2007-02-11",0.5465
"2007-02-12",0
"2007-02-13",3.0041
"2007-02-14",0
"2007-02-15",0.013
"2007-02-16",0
"2007-02-17",0
"2007-02-18",0
"2007-02-19",0.3388
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",5.7687
"2007-02-25",4.8103
"2007-02-26",0
"2007-02-27",0
"2007-02-28",0
"2007-03-01",0
"2007-03-02",0
"2007-03-03",0
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",0.7618
"2007-03-13",0
"2007-03-14",0
"2007-03-15",5.0628
"2007-03-16",0.8036
"2007-03-17",0
"2007-03-18",0
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0.001
"2007-03-24",0
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",0
"2007-03-30",1.0465
"2007-03-31",8.3295
"2007-04-01",0
"2007-04-02",0
"2007-04-03",0
"2007-04-04",0.7897
"2007-04-05",15.4369
"2007-04-06",5.9156
"2007-04-07",11.8796
"2007-04-08",15.6781
"2007-04-09",14.4375
"2007-04-10",12.458
"2007-04-11",9.841
"2007-04-12",0.2848
"2007-04-13",0
"2007-04-14",0
"2007-04-15",2.1625
"2007-04-16",0.5273
"2007-04-17",0
"2007-04-18",0
"2007-04-19",0.5377
"2007-04-20",0
"2007-04-21",3.2347
"2007-04-22",0.7161
"2007-04-23",0
"2007-04-24",0
"2007-04-25",0
"2007-04-26",0.0039
"2007-04-27",0
"2007-04-28",0
"2007-04-29",0.9929
"2007-04-30",0
"2007-05-01",0
"2007-05-02",0.0946
"2007-05-03",1.4071
"2007-05-04",0.279
"2007-05-05",0.0108
"2007-05-06",0.0245
"2007-05-07",0
"2007-05-08",0
"2007-05-09",0
"2007-05-10",0
"2007-05-11",0
"2007-05-12",0
"2007-05-13",2.3646
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",0
"2007-05-20",0
"2007-05-21",0
"2007-05-22",0
"2007-05-23",0.1055
"2007-05-24",7.2
"2007-05-25",1.9946
"2007-05-26",0
"2007-05-27",7.6996
"2007-05-28",19.3077
"2007-05-29",3.5571
"2007-05-30",0
"2007-05-31",2.6988
"2007-06-01",0
"2007-06-02",0.0003
"2007-06-03",0.1718
"2007-06-04",0.8013
"2007-06-05",0.6191
"2007-06-06",0.9088
"2007-06-07",0.0256
"2007-06-08",0.0371
"2007-06-09",0
"2007-06-10",0
"2007-06-11",0
"2007-06-12",0.0416
"2007-06-13",0.3038
"2007-06-14",0.7066
"2007-06-15",0.9393
"2007-06-16",0.2549
"2007-06-17",0.2402
"2007-06-18",0.6707
"2007-06-19",0.5099
"2007-06-20",0.5564
"2007-06-21",2.055
"2007-06-22",0.474
"2007-06-23",0.4406
"2007-06-24",0
"2007-06-25",0.0013
"2007-06-26",2.8086
"2007-06-27",3.652
"2007-06-28",2.2459
"2007-06-29",0
"2007-06-30",0
"2007-07-01",0
"2007-07-02",0
"2007-07-03",0.0065
"2007-07-04",0
"2007-07-05",0
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0
"2007-07-11",1.7506
"2007-07-12",0
"2007-07-13",0.3499
"2007-07-14",0
"2007-07-15",0
"2007-07-16",0
"2007-07-17",0.3629
"2007-07-18",1.7077
"2007-07-19",0.8713
"2007-07-20",7.3042
"2007-07-21",3.4697
"2007-07-22",2.1562
"2007-07-23",7.5117
"2007-07-24",6.6591
"2007-07-25",7.5847
"2007-07-26",0
"2007-07-27",0
"2007-07-28",2.8506
"2007-07-29",12.3895
"2007-07-30",12.3391
"2007-07-31",9.3107
"2007-08-01",0.5799
"2007-08-02",3.0529
"2007-08-03",1.4864
"2007-08-04",0.0909
"2007-08-05",5.1878
"2007-08-06",0
"2007-08-07",0
"2007-08-08",0.0041
"2007-08-09",0
"2007-08-10",3.7113
"2007-08-11",2.6723
"2007-08-12",5.616
"2007-08-13",0.0215
"2007-08-14",0
"2007-08-15",0.5932
"2007-08-16",0.2092
"2007-08-17",0
"2007-08-18",2.5557
"2007-08-19",4.0357
"2007-08-20",0.5639
"2007-08-21",4.5786
"2007-08-22",6.9403
"2007-08-23",3.7895
"2007-08-24",6.2337
"2007-08-25",1.9942
"2007-08-26",0
"2007-08-27",0
"2007-08-28",0
"2007-08-29",0.7666
"2007-08-30",4.9643
"2007-08-31",2.8845
"2007-09-01",0.1686
"2007-09-02",2.6999
"2007-09-03",0.4764
"2007-09-04",1.6636
"2007-09-05",0
"2007-09-06",4.4658
"2007-09-07",0.1247
"2007-09-08",0.6487
"2007-09-09",0.3613
"2007-09-10",0.2304
"2007-09-11",1.5892
"2007-09-12",3.8017
"2007-09-13",4.1722
"2007-09-14",0
"2007-09-15",12.175
"2007-09-16",5.4471
"2007-09-17",1.9842
"2007-09-18",2.2869
"2007-09-19",0.6595
"2007-09-20",0
"2007-09-21",0.0189
"2007-09-22",0
"2007-09-23",0
"2007-09-24",0
"2007-09-25",0
"2007-09-26",0
"2007-09-27",3.3519
"2007-09-28",6.2518
"2007-09-29",0
"2007-09-30",0
"2007-10-01",0
"2007-10-02",0.5822
"2007-10-03",0
"2007-10-04",0.0191
"2007-10-05",0
"2007-10-06",0
"2007-10-07",0
"2007-10-08",0
"2007-10-09",0.5331
"2007-10-10",2.6478
"2007-10-11",9.8451
"2007-10-12",14.9716
"2007-10-13",11.5141
"2007-10-14",22.5938
"2007-10-15",15.447
"2007-10-16",24.9008
"2007-10-17",13.7636
"2007-10-18",14.3823
"2007-10-19",0.9041
"2007-10-20",2.4592
"2007-10-21",12.5442
"2007-10-22",26.1193
"2007-10-23",7.7234
"2007-10-24",11.3028
"2007-10-25",12.5199
"2007-10-26",21.0198
"2007-10-27",6.3854
"2007-10-28",4.8955
"2007-10-29",0
"2007-10-30",10.5334
"2007-10-31",0.9409
"2007-11-01",12.141
"2007-11-02",7.8076
"2007-11-03",0.5317
"2007-11-04",0.1377
"2007-11-05",0
"2007-11-06",12.2483
"2007-11-07",30.0844
"2007-11-08",0
"2007-11-09",0.6445
"2007-11-10",0.9067
"2007-11-11",2.514
"2007-11-12",0
"2007-11-13",0
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",37.392
"2007-11-20",0
"2007-11-21",0.8917
"2007-11-22",4.9749
"2007-11-23",4.9515
"2007-11-24",6.5933
"2007-11-25",0
"2007-11-26",0
"2007-11-27",0
"2007-11-28",0
"2007-11-29",0
"2007-11-30",0
"2007-12-01",0
"2007-12-02",2.4931
"2007-12-03",0
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",1.8661
"2007-12-08",6.9781
"2007-12-09",4.4716
"2007-12-10",10.0482
"2007-12-11",2.7683
"2007-12-12",49.0902
"2007-12-13",57.8971
"2007-12-14",19.509
"2007-12-15",46.8973
"2007-12-16",39.8244
"2007-12-17",29.1976
"2007-12-18",31.538
"2007-12-19",43.5335
"2007-12-20",34.3346
"2007-12-21",15.8509
"2007-12-22",39.7681
"2007-12-23",77.4915
"2007-12-24",0
"2007-12-25",0
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",20.5233
"2008-01-04",0
"2008-01-05",1.8918
"2008-01-06",0
"2008-01-07",0.0487
"2008-01-08",0.7333
"2008-01-09",2.298
"2008-01-10",0
"2008-01-11",0.1167
"2008-01-12",0.0573
"2008-01-13",0.1313
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",1.3173
"2008-01-21",0.4813
"2008-01-22",0
"2008-01-23",0
"2008-01-24",0
"2008-01-25",0
"2008-01-26",3.3878
"2008-01-27",0
"2008-01-28",0
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0.9662
"2008-02-02",0
"2008-02-03",0
"2008-02-04",0
"2008-02-05",0
"2008-02-06",26.7753
"2008-02-07",42.9481
"2008-02-08",3.4096
"2008-02-09",0
"2008-02-10",0.0036
"2008-02-11",0
"2008-02-12",0
"2008-02-13",0
"2008-02-14",0
"2008-02-15",0
"2008-02-16",0
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",0
"2008-02-21",0
"2008-02-22",0
"2008-02-23",0
"2008-02-24",0
"2008-02-25",0
"2008-02-26",15.2003
"2008-02-27",2.3957
"2008-02-28",7.4281
"2008-02-29",13.5577
"2008-03-01",0
"2008-03-02",0
"2008-03-03",0.0611
"2008-03-04",0
"2008-03-05",0
"2008-03-06",16.2704
"2008-03-07",0.798
"2008-03-08",6.6359
"2008-03-09",28.7439
"2008-03-10",8.7257
"2008-03-11",21.2659
"2008-03-12",19.2517
"2008-03-13",1.6971
"2008-03-14",0.7929
"2008-03-15",9.8505
"2008-03-16",10.4774
"2008-03-17",10.4864
"2008-03-18",0.8789
"2008-03-19",1.2961
"2008-03-20",0.0934
"2008-03-21",8.5651
"2008-03-22",0
"2008-03-23",0.1181
"2008-03-24",6.0651
"2008-03-25",2.019
"2008-03-26",0.153
"2008-03-27",0
"2008-03-28",0.1409
"2008-03-29",0
"2008-03-30",11.3993
"2008-03-31",9.4973
"2008-04-01",4.2164
"2008-04-02",5.1988
"2008-04-03",0.9361
"2008-04-04",1.4501
"2008-04-05",0
"2008-04-06",0.1978
"2008-04-07",6.6705
"2008-04-08",8.6016
"2008-04-09",4.4412
"2008-04-10",8.3609
"2008-04-11",0.5064
"2008-04-12",3.9283
"2008-04-13",0.1142
"2008-04-14",0
"2008-04-15",0.7809
"2008-04-16",0.2756
"2008-04-17",0
"2008-04-18",0.0221
"2008-04-19",0
"2008-04-20",0
"2008-04-21",0
"2008-04-22",0
"2008-04-23",0.1683
"2008-04-24",4.9647
"2008-04-25",2.0481
"2008-04-26",0.9438
"2008-04-27",5.9176
"2008-04-28",4.3864
"2008-04-29",0.698
"2008-04-30",0
"2008-05-01",0
"2008-05-02",0
"2008-05-03",0
"2008-05-04",0
"2008-05-05",0
"2008-05-06",0
"2008-05-07",0
"2008-05-08",0
"2008-05-09",0.0264
"2008-05-10",0
"2008-05-11",0
"2008-05-12",0
"2008-05-13",0
"2008-05-14",0
"2008-05-15",0
"2008-05-16",0
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0
"2008-05-20",0
"2008-05-21",0
"2008-05-22",3.1971
"2008-05-23",0.2743
"2008-05-24",0
"2008-05-25",0.067
"2008-05-26",0.1275
"2008-05-27",2.008
"2008-05-28",0.0001
"2008-05-29",0
"2008-05-30",1.7231
"2008-05-31",3.1862
"2008-06-01",2.022
"2008-06-02",0.0723
"2008-06-03",0
"2008-06-04",0
"2008-06-05",0
"2008-06-06",0.2434
"2008-06-07",0.2137
"2008-06-08",0.6884
"2008-06-09",0.7218
"2008-06-10",0.0369
"2008-06-11",0
"2008-06-12",0.5582
"2008-06-13",0.0099
"2008-06-14",0
"2008-06-15",0
"2008-06-16",0
"2008-06-17",0
"2008-06-18",0
"2008-06-19",0
"2008-06-20",0
"2008-06-21",0
"2008-06-22",0
"2008-06-23",0
"2008-06-24",0.0459
"2008-06-25",0
"2008-06-26",0.0041
"2008-06-27",0.003
"2008-06-28",0
"2008-06-29",0
"2008-06-30",0
"2008-07-01",0
"2008-07-02",0
"2008-07-03",0.0395
"2008-07-04",0
