,"(mm) Precipitation (CHIRPS) at Vavuniya, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0
"2007-01-09",5.0635
"2007-01-10",5.9555
"2007-01-11",0
"2007-01-12",0.1249
"2007-01-13",0
"2007-01-14",0
"2007-01-15",0
"2007-01-16",0
"2007-01-17",4.0998
"2007-01-18",0
"2007-01-19",18.6791
"2007-01-20",7.7218
"2007-01-21",0.16
"2007-01-22",0
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",31.782
"2007-01-27",42.5628
"2007-01-28",1.4058
"2007-01-29",0
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0
"2007-02-11",0
"2007-02-12",0
"2007-02-13",0
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0.6032
"2007-02-17",1.9228
"2007-02-18",0
"2007-02-19",0
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",5.3237
"2007-02-25",3.162
"2007-02-26",0
"2007-02-27",0
"2007-02-28",0
"2007-03-01",0
"2007-03-02",0
"2007-03-03",0
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",0
"2007-03-13",0
"2007-03-14",0
"2007-03-15",0
"2007-03-16",1.0541
"2007-03-17",0
"2007-03-18",0
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",0
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",0
"2007-03-30",0
"2007-03-31",17.7083
"2007-04-01",7.1452
"2007-04-02",6.5814
"2007-04-03",3.0643
"2007-04-04",1.3173
"2007-04-05",18.8614
"2007-04-06",22.6821
"2007-04-07",19.2786
"2007-04-08",9.2429
"2007-04-09",12.6399
"2007-04-10",20.3754
"2007-04-11",15.2298
"2007-04-12",0
"2007-04-13",0
"2007-04-14",0
"2007-04-15",6.1427
"2007-04-16",0.4356
"2007-04-17",0
"2007-04-18",0
"2007-04-19",4.5265
"2007-04-20",5.5617
"2007-04-21",8.8074
"2007-04-22",7.5641
"2007-04-23",1.6186
"2007-04-24",0.1699
"2007-04-25",1.2587
"2007-04-26",8.6817
"2007-04-27",6.3586
"2007-04-28",0.4738
"2007-04-29",12.702
"2007-04-30",0
"2007-05-01",0
"2007-05-02",0.0745
"2007-05-03",3.5085
"2007-05-04",2.4325
"2007-05-05",0.0428
"2007-05-06",0
"2007-05-07",0
"2007-05-08",0
"2007-05-09",0
"2007-05-10",0
"2007-05-11",0
"2007-05-12",0
"2007-05-13",0.7774
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",0
"2007-05-20",0
"2007-05-21",0
"2007-05-22",0
"2007-05-23",2.3326
"2007-05-24",9.7447
"2007-05-25",5.2413
"2007-05-26",0
"2007-05-27",0.2996
"2007-05-28",17.1102
"2007-05-29",6.6273
"2007-05-30",0
"2007-05-31",0
"2007-06-01",0
"2007-06-02",1.3457
"2007-06-03",0.6257
"2007-06-04",1.5451
"2007-06-05",0.9047
"2007-06-06",0.2852
"2007-06-07",0.1882
"2007-06-08",0.0427
"2007-06-09",0
"2007-06-10",0
"2007-06-11",0
"2007-06-12",0
"2007-06-13",0
"2007-06-14",0
"2007-06-15",0
"2007-06-16",0
"2007-06-17",0
"2007-06-18",0
"2007-06-19",0
"2007-06-20",0
"2007-06-21",0.035
"2007-06-22",0.03
"2007-06-23",0.0199
"2007-06-24",0
"2007-06-25",0
"2007-06-26",0.9947
"2007-06-27",2.9428
"2007-06-28",0.5545
"2007-06-29",0.0253
"2007-06-30",0
"2007-07-01",0
"2007-07-02",0
"2007-07-03",0
"2007-07-04",0
"2007-07-05",0.0339
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0
"2007-07-11",2.3506
"2007-07-12",0
"2007-07-13",3.5891
"2007-07-14",0
"2007-07-15",0
"2007-07-16",0
"2007-07-17",0.3311
"2007-07-18",2.281
"2007-07-19",2.7831
"2007-07-20",4.1991
"2007-07-21",3.0965
"2007-07-22",3.4351
"2007-07-23",4.209
"2007-07-24",4.6361
"2007-07-25",3.6807
"2007-07-26",0
"2007-07-27",0
"2007-07-28",0.8407
"2007-07-29",8.4206
"2007-07-30",8.6503
"2007-07-31",4.4205
"2007-08-01",1.2927
"2007-08-02",0.7652
"2007-08-03",2.1062
"2007-08-04",0.1465
"2007-08-05",2.3895
"2007-08-06",0.3564
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0
"2007-08-10",3.8334
"2007-08-11",2.3354
"2007-08-12",3.5394
"2007-08-13",0
"2007-08-14",0
"2007-08-15",2.1494
"2007-08-16",0
"2007-08-17",0
"2007-08-18",1.4935
"2007-08-19",3.0226
"2007-08-20",1.5684
"2007-08-21",4.5628
"2007-08-22",4.823
"2007-08-23",2.335
"2007-08-24",4.6992
"2007-08-25",2.6738
"2007-08-26",0
"2007-08-27",0
"2007-08-28",0
"2007-08-29",0
"2007-08-30",0.5689
"2007-08-31",0
"2007-09-01",0.2735
"2007-09-02",0.0114
"2007-09-03",0.9908
"2007-09-04",1.6978
"2007-09-05",0
"2007-09-06",11.587
"2007-09-07",8.6739
"2007-09-08",0.8139
"2007-09-09",5.3974
"2007-09-10",1.1987
"2007-09-11",4.2835
"2007-09-12",0.0248
"2007-09-13",3.177
"2007-09-14",1.7596
"2007-09-15",6.89
"2007-09-16",4.2293
"2007-09-17",0.0838
"2007-09-18",1.2692
"2007-09-19",0.1871
"2007-09-20",0
"2007-09-21",0
"2007-09-22",0
"2007-09-23",0
"2007-09-24",0
"2007-09-25",0
"2007-09-26",0
"2007-09-27",3.0845
"2007-09-28",3.9162
"2007-09-29",0
"2007-09-30",0
"2007-10-01",0
"2007-10-02",0.7333
"2007-10-03",0
"2007-10-04",0.0356
"2007-10-05",0
"2007-10-06",0
"2007-10-07",0
"2007-10-08",0
"2007-10-09",3.4683
"2007-10-10",16.9024
"2007-10-11",13.6015
"2007-10-12",16.895
"2007-10-13",15.1821
"2007-10-14",19.6889
"2007-10-15",21.1974
"2007-10-16",29.6397
"2007-10-17",19.1473
"2007-10-18",18.325
"2007-10-19",11.1839
"2007-10-20",0
"2007-10-21",7.808
"2007-10-22",24.9278
"2007-10-23",13.6203
"2007-10-24",9.0955
"2007-10-25",14.4186
"2007-10-26",18.0488
"2007-10-27",21.547
"2007-10-28",9.365
"2007-10-29",0
"2007-10-30",9.8873
"2007-10-31",0
"2007-11-01",14.2482
"2007-11-02",13.0936
"2007-11-03",0.6287
"2007-11-04",3.474
"2007-11-05",1.1688
"2007-11-06",12.7595
"2007-11-07",33.2025
"2007-11-08",0.002
"2007-11-09",0.9271
"2007-11-10",0.347
"2007-11-11",7.5183
"2007-11-12",0.0252
"2007-11-13",0
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",3.7115
"2007-11-20",0
"2007-11-21",22.36
"2007-11-22",32.9774
"2007-11-23",11.9439
"2007-11-24",0
"2007-11-25",0
"2007-11-26",0
"2007-11-27",0
"2007-11-28",0
"2007-11-29",0
"2007-11-30",0
"2007-12-01",0
"2007-12-02",0
"2007-12-03",0
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0
"2007-12-08",13.2906
"2007-12-09",2.0618
"2007-12-10",13.8635
"2007-12-11",2.8121
"2007-12-12",35.6936
"2007-12-13",48.4294
"2007-12-14",12.39
"2007-12-15",40.5332
"2007-12-16",43.0073
"2007-12-17",25.1133
"2007-12-18",59.4943
"2007-12-19",31.5723
"2007-12-20",21.3719
"2007-12-21",0.1788
"2007-12-22",10.9396
"2007-12-23",52.0041
"2007-12-24",0
"2007-12-25",0
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",12.4958
"2008-01-04",2.4278
"2008-01-05",2.0596
"2008-01-06",0
"2008-01-07",0
"2008-01-08",0
"2008-01-09",0
"2008-01-10",0
"2008-01-11",0
"2008-01-12",0
"2008-01-13",0.0231
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",0.3808
"2008-01-22",0
"2008-01-23",0
"2008-01-24",0
"2008-01-25",0.1298
"2008-01-26",5.0757
"2008-01-27",0
"2008-01-28",1.2196
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0.0585
"2008-02-02",0
"2008-02-03",0
"2008-02-04",0
"2008-02-05",0
"2008-02-06",8.0345
"2008-02-07",33.3091
"2008-02-08",2.4602
"2008-02-09",0.9748
"2008-02-10",7.0495
"2008-02-11",0
"2008-02-12",0
"2008-02-13",0.9661
"2008-02-14",0
"2008-02-15",0
"2008-02-16",0
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",0
"2008-02-21",0
"2008-02-22",0
"2008-02-23",0
"2008-02-24",0
"2008-02-25",0
"2008-02-26",7.5848
"2008-02-27",4.5282
"2008-02-28",0.7087
"2008-02-29",21.4361
"2008-03-01",0
"2008-03-02",1.0184
"2008-03-03",0
"2008-03-04",0
"2008-03-05",0
"2008-03-06",7.4542
"2008-03-07",2.563
"2008-03-08",0
"2008-03-09",33.8063
"2008-03-10",26.9042
"2008-03-11",15.8409
"2008-03-12",23.1451
"2008-03-13",4.4299
"2008-03-14",8.0946
"2008-03-15",8.577
"2008-03-16",7.865
"2008-03-17",7.904
"2008-03-18",1.9684
"2008-03-19",6.1473
"2008-03-20",3.6108
"2008-03-21",13.8009
"2008-03-22",6.3796
"2008-03-23",11.846
"2008-03-24",30.5454
"2008-03-25",9.5418
"2008-03-26",4.8507
"2008-03-27",1.4698
"2008-03-28",5.7707
"2008-03-29",0.6203
"2008-03-30",9.8568
"2008-03-31",1.1949
"2008-04-01",0.8088
"2008-04-02",8.3322
"2008-04-03",2.0052
"2008-04-04",3.909
"2008-04-05",0
"2008-04-06",0
"2008-04-07",12.8938
"2008-04-08",9.6256
"2008-04-09",7.6578
"2008-04-10",3.3845
"2008-04-11",3.1665
"2008-04-12",10.5305
"2008-04-13",5.373
"2008-04-14",1.3685
"2008-04-15",4.0665
"2008-04-16",3.0148
"2008-04-17",1.0527
"2008-04-18",2.2816
"2008-04-19",0
"2008-04-20",0.5376
"2008-04-21",0
"2008-04-22",0
"2008-04-23",0
"2008-04-24",6.8504
"2008-04-25",4.9429
"2008-04-26",6.2005
"2008-04-27",4.3285
"2008-04-28",3.8266
"2008-04-29",0.0134
"2008-04-30",0
"2008-05-01",0
"2008-05-02",0
"2008-05-03",0
"2008-05-04",0
"2008-05-05",0
"2008-05-06",0
"2008-05-07",0
"2008-05-08",0
"2008-05-09",0
"2008-05-10",0
"2008-05-11",0
"2008-05-12",0
"2008-05-13",0
"2008-05-14",0
"2008-05-15",0
"2008-05-16",0
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0
"2008-05-20",0
"2008-05-21",0
"2008-05-22",1.8591
"2008-05-23",0.5982
"2008-05-24",0
"2008-05-25",2.1487
"2008-05-26",1.6543
"2008-05-27",0.4035
"2008-05-28",0
"2008-05-29",0
"2008-05-30",0.3307
"2008-05-31",1.9805
"2008-06-01",1.6721
"2008-06-02",0.0127
"2008-06-03",0
"2008-06-04",0
"2008-06-05",0
"2008-06-06",0.0097
"2008-06-07",0.1134
"2008-06-08",0.2116
"2008-06-09",0.0675
"2008-06-10",0.0666
"2008-06-11",0
"2008-06-12",0
"2008-06-13",0
"2008-06-14",0
"2008-06-15",0
"2008-06-16",0
"2008-06-17",0
"2008-06-18",0
"2008-06-19",0
"2008-06-20",0
"2008-06-21",0
"2008-06-22",0
"2008-06-23",0
"2008-06-24",0.0035
"2008-06-25",0
"2008-06-26",0
"2008-06-27",0.0239
"2008-06-28",0
"2008-06-29",0
"2008-06-30",0
"2008-07-01",0
"2008-07-02",0
"2008-07-03",0.4146
"2008-07-04",0
"2008-07-05",0
"2008-07-06",0
"2008-07-07",0
"2008-07-08",0
"2008-07-09",0
"2008-07-10",0
"2008-07-11",3.0153
