,"(mm) Precipitation (CHIRPS) at Gampaha, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0
"2007-01-09",20.9644
"2007-01-10",3.1465
"2007-01-11",27.02
"2007-01-12",0.4508
"2007-01-13",0.8565
"2007-01-14",1.1321
"2007-01-15",0
"2007-01-16",0.8177
"2007-01-17",4.5424
"2007-01-18",0
"2007-01-19",13.2782
"2007-01-20",0
"2007-01-21",0
"2007-01-22",0
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",3.245
"2007-01-27",23.7836
"2007-01-28",0
"2007-01-29",0.7777
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0.2213
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0
"2007-02-11",0.4676
"2007-02-12",0
"2007-02-13",0
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0
"2007-02-17",0.919
"2007-02-18",0.7437
"2007-02-19",0
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",0.7904
"2007-02-25",22.3204
"2007-02-26",1.1037
"2007-02-27",4.9804
"2007-02-28",0
"2007-03-01",0
"2007-03-02",2.2767
"2007-03-03",7.9818
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",7.558
"2007-03-13",10.6747
"2007-03-14",0
"2007-03-15",13.5982
"2007-03-16",9.3651
"2007-03-17",12.3339
"2007-03-18",0
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",1.3254
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",0
"2007-03-30",0.0728
"2007-03-31",25.8574
"2007-04-01",18.6663
"2007-04-02",10.9031
"2007-04-03",14.074
"2007-04-04",24.1287
"2007-04-05",33.6705
"2007-04-06",35.6803
"2007-04-07",39.0763
"2007-04-08",46.9034
"2007-04-09",26.3683
"2007-04-10",29.8737
"2007-04-11",38.0332
"2007-04-12",8.1779
"2007-04-13",16.4964
"2007-04-14",0.929
"2007-04-15",0
"2007-04-16",0
"2007-04-17",0
"2007-04-18",0
"2007-04-19",4.568
"2007-04-20",3.1308
"2007-04-21",21.7102
"2007-04-22",18.5075
"2007-04-23",17.5128
"2007-04-24",11.5312
"2007-04-25",22.4938
"2007-04-26",24.441
"2007-04-27",23.9437
"2007-04-28",25.2394
"2007-04-29",25.732
"2007-04-30",9.1714
"2007-05-01",0
"2007-05-02",0
"2007-05-03",13.6876
"2007-05-04",22.8626
"2007-05-05",7.4284
"2007-05-06",2.8197
"2007-05-07",12.0131
"2007-05-08",9.8989
"2007-05-09",32.382
"2007-05-10",10.958
"2007-05-11",0.1901
"2007-05-12",37.145
"2007-05-13",0
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",0
"2007-05-20",0
"2007-05-21",1.3143
"2007-05-22",0
"2007-05-23",9.6509
"2007-05-24",11.2053
"2007-05-25",1.6016
"2007-05-26",0
"2007-05-27",3.9695
"2007-05-28",55.0714
"2007-05-29",16.1256
"2007-05-30",0
"2007-05-31",1.1714
"2007-06-01",0
"2007-06-02",0
"2007-06-03",2.5668
"2007-06-04",18.7847
"2007-06-05",0.3052
"2007-06-06",16.0934
"2007-06-07",24.711
"2007-06-08",0
"2007-06-09",0
"2007-06-10",0
"2007-06-11",0.5841
"2007-06-12",3.7228
"2007-06-13",47.1127
"2007-06-14",49.4748
"2007-06-15",43.3084
"2007-06-16",18.8857
"2007-06-17",1.0139
"2007-06-18",18.6989
"2007-06-19",25.2965
"2007-06-20",2.5203
"2007-06-21",63.6192
"2007-06-22",76.8827
"2007-06-23",16.2826
"2007-06-24",0.1504
"2007-06-25",0.2521
"2007-06-26",13.684
"2007-06-27",10.2158
"2007-06-28",7.0898
"2007-06-29",3.8956
"2007-06-30",0
"2007-07-01",0
"2007-07-02",8.9145
"2007-07-03",22.5388
"2007-07-04",8.8463
"2007-07-05",0
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0
"2007-07-11",17.3712
"2007-07-12",1.4704
"2007-07-13",0.3817
"2007-07-14",0
"2007-07-15",0.8909
"2007-07-16",2.8864
"2007-07-17",0.4389
"2007-07-18",9.2592
"2007-07-19",21.5716
"2007-07-20",2.3684
"2007-07-21",2.3974
"2007-07-22",8.0723
"2007-07-23",23.6919
"2007-07-24",6.5723
"2007-07-25",0.1194
"2007-07-26",0
"2007-07-27",0
"2007-07-28",1.0456
"2007-07-29",16.3826
"2007-07-30",6.6001
"2007-07-31",1.77
"2007-08-01",6.9151
"2007-08-02",17.8184
"2007-08-03",0.122
"2007-08-04",0
"2007-08-05",5.0673
"2007-08-06",0
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0
"2007-08-10",3.6378
"2007-08-11",7.4326
"2007-08-12",2.0039
"2007-08-13",0
"2007-08-14",0
"2007-08-15",0.4894
"2007-08-16",0.2082
"2007-08-17",3.4193
"2007-08-18",0.4811
"2007-08-19",6.0571
"2007-08-20",0
"2007-08-21",0
"2007-08-22",0
"2007-08-23",15.3765
"2007-08-24",12.5615
"2007-08-25",6.7457
"2007-08-26",6.8338
"2007-08-27",8.777
"2007-08-28",10.1515
"2007-08-29",16.1463
"2007-08-30",23.563
"2007-08-31",23.1647
"2007-09-01",0.5189
"2007-09-02",0.1147
"2007-09-03",0
"2007-09-04",9.0826
"2007-09-05",12.9495
"2007-09-06",0
"2007-09-07",42.5899
"2007-09-08",15.9498
"2007-09-09",30.9333
"2007-09-10",0
"2007-09-11",13.6733
"2007-09-12",9.1755
"2007-09-13",8.4788
"2007-09-14",18.0239
"2007-09-15",0.4672
"2007-09-16",15.5099
"2007-09-17",16.606
"2007-09-18",5.7657
"2007-09-19",0.6343
"2007-09-20",0.8336
"2007-09-21",0
"2007-09-22",0
"2007-09-23",2.6486
"2007-09-24",0.6252
"2007-09-25",0
"2007-09-26",2.5812
"2007-09-27",6.3278
"2007-09-28",3.8686
"2007-09-29",1.004
"2007-09-30",0.1753
"2007-10-01",4.8205
"2007-10-02",0.5131
"2007-10-03",16.9174
"2007-10-04",0
"2007-10-05",6.6856
"2007-10-06",11.2574
"2007-10-07",12.7064
"2007-10-08",7.6661
"2007-10-09",8.0643
"2007-10-10",19.7137
"2007-10-11",12.4711
"2007-10-12",9.8181
"2007-10-13",17.0837
"2007-10-14",37.2474
"2007-10-15",17.0277
"2007-10-16",22.6848
"2007-10-17",25.0781
"2007-10-18",3.3937
"2007-10-19",11.0169
"2007-10-20",7.5335
"2007-10-21",8.0923
"2007-10-22",27.7891
"2007-10-23",11.3461
"2007-10-24",23.157
"2007-10-25",27.6935
"2007-10-26",29.6483
"2007-10-27",13.2493
"2007-10-28",0.3922
"2007-10-29",1.3456
"2007-10-30",1.5825
"2007-10-31",0
"2007-11-01",9.5819
"2007-11-02",16.5654
"2007-11-03",9.8214
"2007-11-04",19.6738
"2007-11-05",10.1957
"2007-11-06",12.7062
"2007-11-07",7.797
"2007-11-08",8.842
"2007-11-09",0.0328
"2007-11-10",0.0328
"2007-11-11",0.3252
"2007-11-12",15.9371
"2007-11-13",0
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",21.568
"2007-11-20",22.8194
"2007-11-21",14.7295
"2007-11-22",21.6334
"2007-11-23",10.0226
"2007-11-24",4.6973
"2007-11-25",0
"2007-11-26",0.0404
"2007-11-27",0
"2007-11-28",0
"2007-11-29",0.0102
"2007-11-30",0
"2007-12-01",0
"2007-12-02",11.9099
"2007-12-03",0
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0.1512
"2007-12-08",2.5657
"2007-12-09",2.5413
"2007-12-10",4.6781
"2007-12-11",0.7506
"2007-12-12",14.1022
"2007-12-13",9.9728
"2007-12-14",17.4595
"2007-12-15",18.7958
"2007-12-16",7.444
"2007-12-17",0.7372
"2007-12-18",11.4823
"2007-12-19",4.1889
"2007-12-20",8.5355
"2007-12-21",11.7651
"2007-12-22",9.1187
"2007-12-23",9.039
"2007-12-24",0
"2007-12-25",0
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",0.2799
"2008-01-04",3.8962
"2008-01-05",0
"2008-01-06",0.1878
"2008-01-07",0
"2008-01-08",0.2688
"2008-01-09",15.6253
"2008-01-10",14.0548
"2008-01-11",0
"2008-01-12",4.3446
"2008-01-13",2.8376
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",1.0183
"2008-01-22",0
"2008-01-23",0
"2008-01-24",0
"2008-01-25",4.0804
"2008-01-26",1.8457
"2008-01-27",1.9048
"2008-01-28",0
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0
"2008-02-02",0
"2008-02-03",0
"2008-02-04",2.6291
"2008-02-05",0
"2008-02-06",7.9917
"2008-02-07",9.4048
"2008-02-08",9.013
"2008-02-09",1.7576
"2008-02-10",2.328
"2008-02-11",22.2137
"2008-02-12",22.8589
"2008-02-13",6.5823
"2008-02-14",1.962
"2008-02-15",7.942
"2008-02-16",3.4585
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",0.2932
"2008-02-21",0.2652
"2008-02-22",0
"2008-02-23",0
"2008-02-24",0.0454
"2008-02-25",0
"2008-02-26",0
"2008-02-27",12.7643
"2008-02-28",3.037
"2008-02-29",5.4574
"2008-03-01",12.6338
"2008-03-02",26.6354
"2008-03-03",21.2917
"2008-03-04",23.1881
"2008-03-05",25.9913
"2008-03-06",26.9749
"2008-03-07",0
"2008-03-08",0
"2008-03-09",33.4643
"2008-03-10",23.15
"2008-03-11",50.9745
"2008-03-12",49.673
"2008-03-13",38.4474
"2008-03-14",23.634
"2008-03-15",41.7902
"2008-03-16",30.0809
"2008-03-17",24.8794
"2008-03-18",27.5942
"2008-03-19",6.1658
"2008-03-20",1.94
"2008-03-21",6.131
"2008-03-22",11.4481
"2008-03-23",1.2884
"2008-03-24",44.0905
"2008-03-25",0.1839
"2008-03-26",0.8052
"2008-03-27",12.0483
"2008-03-28",21.7031
"2008-03-29",26.7119
"2008-03-30",10.6909
"2008-03-31",8.8186
"2008-04-01",0.5275
"2008-04-02",14.3972
"2008-04-03",0
"2008-04-04",15.0078
"2008-04-05",20.1141
"2008-04-06",24.438
"2008-04-07",33.6062
"2008-04-08",11.4454
"2008-04-09",23.7433
"2008-04-10",36.5272
"2008-04-11",13.0701
"2008-04-12",22.7472
"2008-04-13",15.7486
"2008-04-14",17.3862
"2008-04-15",16.4171
"2008-04-16",19.5742
"2008-04-17",14.2692
"2008-04-18",28.5104
"2008-04-19",17.0079
"2008-04-20",0.8972
"2008-04-21",2.1907
"2008-04-22",2.4869
"2008-04-23",3.9371
"2008-04-24",23.4806
"2008-04-25",6.2897
"2008-04-26",21.5348
"2008-04-27",31.3301
"2008-04-28",60.5765
"2008-04-29",6.1158
"2008-04-30",0.3918
"2008-05-01",6.5822
"2008-05-02",0
"2008-05-03",0
"2008-05-04",0
"2008-05-05",0
"2008-05-06",7.3793
"2008-05-07",3.474
"2008-05-08",0.075
"2008-05-09",11.7065
"2008-05-10",0
"2008-05-11",0
"2008-05-12",14.0655
"2008-05-13",8.325
"2008-05-14",8.6083
"2008-05-15",0
"2008-05-16",0.0123
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0.1519
"2008-05-20",0
"2008-05-21",0
"2008-05-22",29.7656
"2008-05-23",17.1304
"2008-05-24",0
"2008-05-25",6.3981
"2008-05-26",7.675
"2008-05-27",16.975
"2008-05-28",13.7923
"2008-05-29",5.9439
"2008-05-30",11.1488
"2008-05-31",19.1798
"2008-06-01",45.6209
"2008-06-02",31.3506
"2008-06-03",10.5687
"2008-06-04",0.7409
"2008-06-05",2.1101
"2008-06-06",5.9851
"2008-06-07",19.2115
"2008-06-08",18.126
"2008-06-09",17.1832
"2008-06-10",0
"2008-06-11",0.7957
"2008-06-12",0.7921
"2008-06-13",0
"2008-06-14",12.8833
"2008-06-15",0
