,"(mm) Precipitation (CHIRPS) at Ampara, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",3.7077
"2007-01-09",22.4771
"2007-01-10",122.1725
"2007-01-11",77.6897
"2007-01-12",25.4499
"2007-01-13",0
"2007-01-14",0.4725
"2007-01-15",0
"2007-01-16",8.4466
"2007-01-17",1.9706
"2007-01-18",1.6864
"2007-01-19",17.3377
"2007-01-20",0
"2007-01-21",2.581
"2007-01-22",0.1724
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",88.9809
"2007-01-27",27.2594
"2007-01-28",0.6583
"2007-01-29",0.8265
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0.3076
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0
"2007-02-11",0
"2007-02-12",0.3064
"2007-02-13",1.6318
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0
"2007-02-17",0
"2007-02-18",0
"2007-02-19",0.5149
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",4.2122
"2007-02-24",45.7134
"2007-02-25",19.9699
"2007-02-26",0
"2007-02-27",0.0009
"2007-02-28",0
"2007-03-01",0
"2007-03-02",0
"2007-03-03",0
"2007-03-04",0
"2007-03-05",0.5568
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0.7692
"2007-03-12",9.532
"2007-03-13",0.0339
"2007-03-14",0
"2007-03-15",7.5708
"2007-03-16",4.4822
"2007-03-17",0
"2007-03-18",0
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0.1616
"2007-03-24",1.6354
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",1.1756
"2007-03-29",0
"2007-03-30",0.0973
"2007-03-31",2.0689
"2007-04-01",0.5592
"2007-04-02",0
"2007-04-03",2.3484
"2007-04-04",6.1143
"2007-04-05",22.1547
"2007-04-06",14.3203
"2007-04-07",16.3785
"2007-04-08",28.8005
"2007-04-09",20.9593
"2007-04-10",21.1346
"2007-04-11",6.5138
"2007-04-12",21.2596
"2007-04-13",1.7312
"2007-04-14",0.1217
"2007-04-15",13.3762
"2007-04-16",5.0917
"2007-04-17",2.872
"2007-04-18",2.3299
"2007-04-19",0.2013
"2007-04-20",0
"2007-04-21",1.5395
"2007-04-22",4.7438
"2007-04-23",0.015
"2007-04-24",0.5399
"2007-04-25",0
"2007-04-26",1.5781
"2007-04-27",1.8019
"2007-04-28",0.4741
"2007-04-29",7.054
"2007-04-30",1.2091
"2007-05-01",0
"2007-05-02",1.3853
"2007-05-03",0.8649
"2007-05-04",2.9576
"2007-05-05",0.7572
"2007-05-06",0.8871
"2007-05-07",2.8287
"2007-05-08",0
"2007-05-09",0.1386
"2007-05-10",0
"2007-05-11",0.0182
"2007-05-12",0
"2007-05-13",0
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",1.4679
"2007-05-20",1.0506
"2007-05-21",0.1126
"2007-05-22",0
"2007-05-23",0.0103
"2007-05-24",1.4234
"2007-05-25",1.6326
"2007-05-26",0.1339
"2007-05-27",6.3934
"2007-05-28",18.1897
"2007-05-29",0.6191
"2007-05-30",0
"2007-05-31",0
"2007-06-01",0
"2007-06-02",0
"2007-06-03",0.0006
"2007-06-04",0.5993
"2007-06-05",0.0756
"2007-06-06",0.4629
"2007-06-07",2.4289
"2007-06-08",0.7299
"2007-06-09",0
"2007-06-10",0
"2007-06-11",0.0676
"2007-06-12",0.2089
"2007-06-13",1.4163
"2007-06-14",7.0901
"2007-06-15",7.65
"2007-06-16",2.1757
"2007-06-17",2.5714
"2007-06-18",4.8673
"2007-06-19",3.31
"2007-06-20",1.9873
"2007-06-21",6.279
"2007-06-22",1.0413
"2007-06-23",1.9576
"2007-06-24",0.0277
"2007-06-25",0.0581
"2007-06-26",0.785
"2007-06-27",1.7049
"2007-06-28",1.7627
"2007-06-29",0
"2007-06-30",0
"2007-07-01",0
"2007-07-02",1.2355
"2007-07-03",0
"2007-07-04",0.01
"2007-07-05",0
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0
"2007-07-11",2.3476
"2007-07-12",0.8985
"2007-07-13",0
"2007-07-14",0
"2007-07-15",0
"2007-07-16",1.398
"2007-07-17",0.0243
"2007-07-18",1.9037
"2007-07-19",4.1964
"2007-07-20",5.1146
"2007-07-21",0
"2007-07-22",4.4144
"2007-07-23",15.2929
"2007-07-24",6.0845
"2007-07-25",2.3021
"2007-07-26",0
"2007-07-27",0
"2007-07-28",0.3507
"2007-07-29",14.0021
"2007-07-30",9.36
"2007-07-31",3.2652
"2007-08-01",0.7008
"2007-08-02",1.7154
"2007-08-03",1.46
"2007-08-04",0
"2007-08-05",0.4011
"2007-08-06",0
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0.1991
"2007-08-10",0.8125
"2007-08-11",7.4752
"2007-08-12",0.7465
"2007-08-13",1.2389
"2007-08-14",0
"2007-08-15",0
"2007-08-16",0.1321
"2007-08-17",1.3234
"2007-08-18",0.0557
"2007-08-19",2.9136
"2007-08-20",0.2554
"2007-08-21",0.8902
"2007-08-22",3.8212
"2007-08-23",7.1756
"2007-08-24",8.3111
"2007-08-25",6.2122
"2007-08-26",0
"2007-08-27",4.2673
"2007-08-28",3.2849
"2007-08-29",6.9576
"2007-08-30",10.237
"2007-08-31",1.8043
"2007-09-01",2.9726
"2007-09-02",0.2884
"2007-09-03",0
"2007-09-04",0.9805
"2007-09-05",3.3893
"2007-09-06",0.0046
"2007-09-07",0
"2007-09-08",1.8614
"2007-09-09",4.3269
"2007-09-10",0
"2007-09-11",5.4847
"2007-09-12",5.4719
"2007-09-13",3.3055
"2007-09-14",0.8182
"2007-09-15",3.7757
"2007-09-16",0.0565
"2007-09-17",1.2006
"2007-09-18",0.5727
"2007-09-19",0.9487
"2007-09-20",0.0104
"2007-09-21",0.0319
"2007-09-22",0
"2007-09-23",0
"2007-09-24",0
"2007-09-25",0
"2007-09-26",0.6411
"2007-09-27",5.6229
"2007-09-28",10.6681
"2007-09-29",0
"2007-09-30",0.3395
"2007-10-01",2.4836
"2007-10-02",3.9498
"2007-10-03",3.6926
"2007-10-04",1.3439
"2007-10-05",0.0798
"2007-10-06",2.0008
"2007-10-07",0
"2007-10-08",0
"2007-10-09",0.7639
"2007-10-10",2.2002
"2007-10-11",5.7436
"2007-10-12",0.2089
"2007-10-13",4.0702
"2007-10-14",16.0958
"2007-10-15",12.8497
"2007-10-16",4.4676
"2007-10-17",7.0442
"2007-10-18",2.3037
"2007-10-19",1.7867
"2007-10-20",10.1949
"2007-10-21",6.2058
"2007-10-22",9.3681
"2007-10-23",5.5645
"2007-10-24",10.8212
"2007-10-25",17.5626
"2007-10-26",24.6059
"2007-10-27",20.2293
"2007-10-28",0.4697
"2007-10-29",0
"2007-10-30",0
"2007-10-31",1.7545
"2007-11-01",30.3584
"2007-11-02",0.0353
"2007-11-03",0.2616
"2007-11-04",3.0073
"2007-11-05",3.6855
"2007-11-06",8.6843
"2007-11-07",20.7985
"2007-11-08",0.596
"2007-11-09",3.821
"2007-11-10",2.0624
"2007-11-11",1.8159
"2007-11-12",0
"2007-11-13",0.8762
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",1.0496
"2007-11-19",24.6776
"2007-11-20",5.2154
"2007-11-21",0.6723
"2007-11-22",1.7527
"2007-11-23",7.1524
"2007-11-24",16.6691
"2007-11-25",0
"2007-11-26",0
"2007-11-27",0
"2007-11-28",0
"2007-11-29",0
"2007-11-30",0
"2007-12-01",0
"2007-12-02",15.7027
"2007-12-03",0
"2007-12-04",0.4043
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0.4034
"2007-12-08",7.2873
"2007-12-09",26.4707
"2007-12-10",14.0401
"2007-12-11",19.9205
"2007-12-12",53.5719
"2007-12-13",21.7771
"2007-12-14",28.7806
"2007-12-15",67.1334
"2007-12-16",38.057
"2007-12-17",14.4363
"2007-12-18",8.1507
"2007-12-19",35.8396
"2007-12-20",51.4138
"2007-12-21",23.072
"2007-12-22",43.3376
"2007-12-23",33.1692
"2007-12-24",0
"2007-12-25",0
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0.0896
"2008-01-03",0.1975
"2008-01-04",0
"2008-01-05",1.7785
"2008-01-06",7.8951
"2008-01-07",29.332
"2008-01-08",25.0333
"2008-01-09",23.3053
"2008-01-10",30.0085
"2008-01-11",31.927
"2008-01-12",14.7485
"2008-01-13",6.2261
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0.5754
"2008-01-21",7.081
"2008-01-22",0
"2008-01-23",0
"2008-01-24",0.0086
"2008-01-25",3.6885
"2008-01-26",4.8303
"2008-01-27",6.1309
"2008-01-28",0.0247
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0
"2008-02-02",0
"2008-02-03",0
"2008-02-04",0
"2008-02-05",3.1684
"2008-02-06",39.1527
"2008-02-07",30.0296
"2008-02-08",16.3025
"2008-02-09",0.3362
"2008-02-10",0
"2008-02-11",0
"2008-02-12",0
"2008-02-13",0.5075
"2008-02-14",0
"2008-02-15",0.7282
"2008-02-16",0.7379
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",0
"2008-02-21",0
"2008-02-22",0
"2008-02-23",0
"2008-02-24",0.3649
"2008-02-25",0
"2008-02-26",12.4653
"2008-02-27",11.8384
"2008-02-28",17.8986
"2008-02-29",17.0524
"2008-03-01",0
"2008-03-02",0
"2008-03-03",12.4534
"2008-03-04",2.643
"2008-03-05",1.1554
"2008-03-06",37.7594
"2008-03-07",4.2416
"2008-03-08",16.5619
"2008-03-09",15.4228
"2008-03-10",5.1893
"2008-03-11",28.5818
"2008-03-12",22.2362
"2008-03-13",4.9666
"2008-03-14",12.0054
"2008-03-15",49.2094
"2008-03-16",22.9945
"2008-03-17",24.3912
"2008-03-18",5.0726
"2008-03-19",0.9373
"2008-03-20",0.1387
"2008-03-21",0.4702
"2008-03-22",0
"2008-03-23",0
"2008-03-24",5.0903
"2008-03-25",0.0521
"2008-03-26",2.1194
"2008-03-27",0
"2008-03-28",0.4563
"2008-03-29",0
"2008-03-30",10.2924
"2008-03-31",12.5336
"2008-04-01",5.1323
"2008-04-02",7.9882
"2008-04-03",6.2265
"2008-04-04",6.389
"2008-04-05",0
"2008-04-06",9.208
"2008-04-07",12.4015
"2008-04-08",13.4082
"2008-04-09",9.7557
"2008-04-10",19.0388
"2008-04-11",9.9895
"2008-04-12",3.5126
"2008-04-13",0.3306
"2008-04-14",0
"2008-04-15",1.2746
"2008-04-16",7.1389
"2008-04-17",0
"2008-04-18",0
"2008-04-19",1.0857
"2008-04-20",0
"2008-04-21",0
"2008-04-22",2.4666
"2008-04-23",8.2469
"2008-04-24",8.4113
"2008-04-25",0.1392
"2008-04-26",1.6428
"2008-04-27",8.8125
"2008-04-28",19.0955
"2008-04-29",4.2027
"2008-04-30",0.1529
"2008-05-01",0
"2008-05-02",0.0011
"2008-05-03",0
"2008-05-04",0.0011
"2008-05-05",0.0806
"2008-05-06",0
"2008-05-07",0.0944
"2008-05-08",0.0193
"2008-05-09",1.3915
"2008-05-10",0
"2008-05-11",0
"2008-05-12",3.386
"2008-05-13",0.376
"2008-05-14",0
"2008-05-15",0
"2008-05-16",0
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0
"2008-05-20",0.0305
"2008-05-21",0.5279
"2008-05-22",7.6131
"2008-05-23",0.9281
"2008-05-24",0.5379
"2008-05-25",2.293
"2008-05-26",1.7345
"2008-05-27",2.5864
"2008-05-28",3.139
"2008-05-29",1.771
"2008-05-30",0.0362
"2008-05-31",0.4453
"2008-06-01",5.9112
"2008-06-02",1.7642
"2008-06-03",1.6525
"2008-06-04",0.8708
"2008-06-05",0.0177
"2008-06-06",2.2153
"2008-06-07",4.6222
"2008-06-08",3.1257
"2008-06-09",3.165
"2008-06-10",0.364
"2008-06-11",0
"2008-06-12",1.9555
"2008-06-13",0
"2008-06-14",0.5538
"2008-06-15",0.0178
"2008-06-16",0
