,"(mm) Precipitation (CHIRPS) at Anuradhapura, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0.4489
"2007-01-09",19.6232
"2007-01-10",0.3799
"2007-01-11",0.6975
"2007-01-12",1.3529
"2007-01-13",0
"2007-01-14",0
"2007-01-15",0
"2007-01-16",2.1604
"2007-01-17",7.8216
"2007-01-18",0.3865
"2007-01-19",15.9089
"2007-01-20",4.4156
"2007-01-21",1.3392
"2007-01-22",0
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",24.5348
"2007-01-27",30.9675
"2007-01-28",0.1216
"2007-01-29",0
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0.0212
"2007-02-11",0
"2007-02-12",0
"2007-02-13",0.0036
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0.2049
"2007-02-17",0.2689
"2007-02-18",0
"2007-02-19",0
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",3.7082
"2007-02-25",6.2701
"2007-02-26",0.1527
"2007-02-27",0
"2007-02-28",0
"2007-03-01",0
"2007-03-02",0
"2007-03-03",0
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",0.3201
"2007-03-13",0
"2007-03-14",0
"2007-03-15",0.8501
"2007-03-16",1.2784
"2007-03-17",0
"2007-03-18",0
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",0.1968
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",0
"2007-03-30",0.0485
"2007-03-31",19.1012
"2007-04-01",9.4422
"2007-04-02",5.021
"2007-04-03",5.072
"2007-04-04",1.5875
"2007-04-05",19.5616
"2007-04-06",29.3684
"2007-04-07",25.239
"2007-04-08",22.3179
"2007-04-09",15.3191
"2007-04-10",21.2565
"2007-04-11",20.6849
"2007-04-12",1.9011
"2007-04-13",1.9058
"2007-04-14",2.2864
"2007-04-15",0.3697
"2007-04-16",0.2072
"2007-04-17",0
"2007-04-18",0
"2007-04-19",1.8999
"2007-04-20",5.7813
"2007-04-21",9.2148
"2007-04-22",6.8459
"2007-04-23",2.1243
"2007-04-24",0
"2007-04-25",3.1244
"2007-04-26",8.5248
"2007-04-27",9.0365
"2007-04-28",5.2473
"2007-04-29",11.9238
"2007-04-30",0
"2007-05-01",0
"2007-05-02",2.3704
"2007-05-03",1.8954
"2007-05-04",0.8231
"2007-05-05",0.0131
"2007-05-06",0
"2007-05-07",0.0005
"2007-05-08",0.0025
"2007-05-09",0.4157
"2007-05-10",0
"2007-05-11",0
"2007-05-12",0
"2007-05-13",0.6181
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",0.306
"2007-05-20",0.0982
"2007-05-21",0
"2007-05-22",0
"2007-05-23",2.275
"2007-05-24",15.1835
"2007-05-25",3.6496
"2007-05-26",0
"2007-05-27",2.5219
"2007-05-28",23.4621
"2007-05-29",7.017
"2007-05-30",0
"2007-05-31",0.395
"2007-06-01",0.3217
"2007-06-02",0.4176
"2007-06-03",0.139
"2007-06-04",2.3657
"2007-06-05",2.0749
"2007-06-06",0.5104
"2007-06-07",0.2222
"2007-06-08",0.1204
"2007-06-09",0
"2007-06-10",0
"2007-06-11",0
"2007-06-12",0.0028
"2007-06-13",0.2065
"2007-06-14",0.4143
"2007-06-15",0.5942
"2007-06-16",0.1827
"2007-06-17",0.0297
"2007-06-18",0.27
"2007-06-19",0.332
"2007-06-20",0.1011
"2007-06-21",1.0101
"2007-06-22",0.3602
"2007-06-23",0.2201
"2007-06-24",0
"2007-06-25",0.0006
"2007-06-26",0.7807
"2007-06-27",1.3662
"2007-06-28",1.33
"2007-06-29",0
"2007-06-30",0
"2007-07-01",0
"2007-07-02",0
"2007-07-03",0
"2007-07-04",0
"2007-07-05",0.016
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0
"2007-07-11",1.0513
"2007-07-12",0.0266
"2007-07-13",0.1738
"2007-07-14",0.0176
"2007-07-15",0
"2007-07-16",0.0345
"2007-07-17",0.0732
"2007-07-18",1.6918
"2007-07-19",2.5633
"2007-07-20",2.2933
"2007-07-21",1.7786
"2007-07-22",1.0027
"2007-07-23",4.8233
"2007-07-24",3.4887
"2007-07-25",4.8351
"2007-07-26",0
"2007-07-27",0
"2007-07-28",1.6156
"2007-07-29",8.2609
"2007-07-30",6.6596
"2007-07-31",3.9698
"2007-08-01",0.4703
"2007-08-02",1.3729
"2007-08-03",1.2609
"2007-08-04",0.1304
"2007-08-05",4.9508
"2007-08-06",0.0488
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0
"2007-08-10",2.1288
"2007-08-11",3.611
"2007-08-12",3.1075
"2007-08-13",0
"2007-08-14",0
"2007-08-15",0.9199
"2007-08-16",0.3925
"2007-08-17",0
"2007-08-18",1.9455
"2007-08-19",2.8024
"2007-08-20",0.4467
"2007-08-21",4.2109
"2007-08-22",4.7824
"2007-08-23",3.8014
"2007-08-24",5.3887
"2007-08-25",1.0867
"2007-08-26",0
"2007-08-27",0
"2007-08-28",0.0263
"2007-08-29",0.2643
"2007-08-30",2.8735
"2007-08-31",1.5956
"2007-09-01",0.05
"2007-09-02",0.5393
"2007-09-03",0.9434
"2007-09-04",2.5047
"2007-09-05",0
"2007-09-06",3.7891
"2007-09-07",11.3909
"2007-09-08",3.6496
"2007-09-09",7.9136
"2007-09-10",0
"2007-09-11",3.6587
"2007-09-12",3.1198
"2007-09-13",2.2095
"2007-09-14",0.0219
"2007-09-15",6.3876
"2007-09-16",2.0988
"2007-09-17",0.9576
"2007-09-18",1.8491
"2007-09-19",0.616
"2007-09-20",0.0584
"2007-09-21",0.085
"2007-09-22",0
"2007-09-23",0
"2007-09-24",0
"2007-09-25",0
"2007-09-26",0
"2007-09-27",2.6543
"2007-09-28",2.8316
"2007-09-29",0
"2007-09-30",0
"2007-10-01",0.0281
"2007-10-02",0.2453
"2007-10-03",0.1539
"2007-10-04",0.4185
"2007-10-05",0
"2007-10-06",0
"2007-10-07",0
"2007-10-08",0
"2007-10-09",5.8129
"2007-10-10",29.6153
"2007-10-11",15.1532
"2007-10-12",16.7217
"2007-10-13",15.467
"2007-10-14",21.9342
"2007-10-15",20.4789
"2007-10-16",29.5224
"2007-10-17",19.519
"2007-10-18",21.0068
"2007-10-19",13.4739
"2007-10-20",1.7709
"2007-10-21",6.7406
"2007-10-22",18.4767
"2007-10-23",10.4062
"2007-10-24",20.3653
"2007-10-25",16.3368
"2007-10-26",17.2358
"2007-10-27",17.5325
"2007-10-28",8.4023
"2007-10-29",0
"2007-10-30",2.8171
"2007-10-31",0.0181
"2007-11-01",17.4009
"2007-11-02",3.4273
"2007-11-03",2.5284
"2007-11-04",9.3089
"2007-11-05",1.7321
"2007-11-06",9.9878
"2007-11-07",21.2195
"2007-11-08",4.2738
"2007-11-09",0.7162
"2007-11-10",0.9387
"2007-11-11",3.7229
"2007-11-12",0.9638
"2007-11-13",0
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",13.6983
"2007-11-20",0.374
"2007-11-21",17.2039
"2007-11-22",5.6522
"2007-11-23",9.2381
"2007-11-24",0.3532
"2007-11-25",0
"2007-11-26",0
"2007-11-27",0
"2007-11-28",0
"2007-11-29",0
"2007-11-30",0
"2007-12-01",0
"2007-12-02",0.016
"2007-12-03",0
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0
"2007-12-08",7.2804
"2007-12-09",2.0768
"2007-12-10",7.2745
"2007-12-11",0.8386
"2007-12-12",32.749
"2007-12-13",40.3089
"2007-12-14",14.694
"2007-12-15",33.7569
"2007-12-16",25.4108
"2007-12-17",29.1101
"2007-12-18",32.648
"2007-12-19",25.4532
"2007-12-20",21.3962
"2007-12-21",21.1336
"2007-12-22",51.7002
"2007-12-23",79.8317
"2007-12-24",0
"2007-12-25",0
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",9.4083
"2008-01-04",0.1921
"2008-01-05",1.1125
"2008-01-06",0
"2008-01-07",0.0043
"2008-01-08",0.2307
"2008-01-09",1.2456
"2008-01-10",0.0489
"2008-01-11",0.0337
"2008-01-12",0.1757
"2008-01-13",5.1332
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0.3878
"2008-01-21",0.3291
"2008-01-22",0
"2008-01-23",0
"2008-01-24",0.8754
"2008-01-25",1.508
"2008-01-26",9.8414
"2008-01-27",0.5758
"2008-01-28",0
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0.1007
"2008-02-02",0
"2008-02-03",0
"2008-02-04",0
"2008-02-05",0.0113
"2008-02-06",11.7511
"2008-02-07",30.7062
"2008-02-08",7.6177
"2008-02-09",1.285
"2008-02-10",1.1179
"2008-02-11",0
"2008-02-12",0
"2008-02-13",0.95
"2008-02-14",0
"2008-02-15",0
"2008-02-16",0
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0.0219
"2008-02-20",0
"2008-02-21",0
"2008-02-22",0
"2008-02-23",0
"2008-02-24",0
"2008-02-25",0
"2008-02-26",5.1634
"2008-02-27",1.5948
"2008-02-28",2.3971
"2008-02-29",25.0677
"2008-03-01",0
"2008-03-02",1.0745
"2008-03-03",0.4867
"2008-03-04",0
"2008-03-05",0.9422
"2008-03-06",19.6856
"2008-03-07",1.4974
"2008-03-08",2.3356
"2008-03-09",34.2758
"2008-03-10",25.6756
"2008-03-11",14.9185
"2008-03-12",29.0515
"2008-03-13",10.1055
"2008-03-14",6.4026
"2008-03-15",18.5407
"2008-03-16",10.194
"2008-03-17",13.0705
"2008-03-18",2.3308
"2008-03-19",5.1388
"2008-03-20",3.6568
"2008-03-21",19.5892
"2008-03-22",10.9513
"2008-03-23",10.3276
"2008-03-24",37.5642
"2008-03-25",3.6065
"2008-03-26",5.8262
"2008-03-27",0.0393
"2008-03-28",7.6148
"2008-03-29",2.9555
"2008-03-30",9.0949
"2008-03-31",0.8686
"2008-04-01",3.4516
"2008-04-02",9.5494
"2008-04-03",0.8999
"2008-04-04",1.3326
"2008-04-05",0.0674
"2008-04-06",0.7318
"2008-04-07",12.3112
"2008-04-08",13.0022
"2008-04-09",9.6786
"2008-04-10",6.2621
"2008-04-11",5.9437
"2008-04-12",11.5261
"2008-04-13",4.3387
"2008-04-14",0.317
"2008-04-15",7.051
"2008-04-16",4.0835
"2008-04-17",1.6521
"2008-04-18",2.0139
"2008-04-19",1.3203
"2008-04-20",0
"2008-04-21",0
"2008-04-22",0
"2008-04-23",0
"2008-04-24",8.8705
"2008-04-25",5.3152
"2008-04-26",8.2427
"2008-04-27",7.015
"2008-04-28",8.2395
"2008-04-29",2.5396
"2008-04-30",0
"2008-05-01",0
"2008-05-02",0
"2008-05-03",0
"2008-05-04",0
"2008-05-05",0
"2008-05-06",0
"2008-05-07",0
"2008-05-08",0
"2008-05-09",0.4231
"2008-05-10",0
"2008-05-11",0
"2008-05-12",0
"2008-05-13",0
"2008-05-14",0
"2008-05-15",0
"2008-05-16",0
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0
"2008-05-20",0.117
"2008-05-21",0.0002
"2008-05-22",2.9248
"2008-05-23",1.8885
"2008-05-24",0
"2008-05-25",0.2204
"2008-05-26",0.4806
"2008-05-27",4.9391
"2008-05-28",0.9698
"2008-05-29",0
"2008-05-30",1.3355
"2008-05-31",1.6291
"2008-06-01",2.2796
"2008-06-02",0.0859
"2008-06-03",0.1088
"2008-06-04",0
"2008-06-05",0
"2008-06-06",0.0702
"2008-06-07",0.4204
"2008-06-08",0.7532
"2008-06-09",0.5377
"2008-06-10",0.1182
"2008-06-11",0
"2008-06-12",0.103
"2008-06-13",0.002
"2008-06-14",0.0007
"2008-06-15",0
"2008-06-16",0.0237
"2008-06-17",0
"2008-06-18",0
"2008-06-19",0
"2008-06-20",0.0369
"2008-06-21",0
