,"(mm) Precipitation (CHIRPS) at Badulla, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0.5759
"2007-01-09",18.5254
"2007-01-10",77.5762
"2007-01-11",119.4852
"2007-01-12",17.2213
"2007-01-13",0.7234
"2007-01-14",0.0438
"2007-01-15",0
"2007-01-16",6.7189
"2007-01-17",5.2268
"2007-01-18",6.5143
"2007-01-19",18.9127
"2007-01-20",0
"2007-01-21",7.6635
"2007-01-22",0.9213
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",36.5645
"2007-01-27",19.3214
"2007-01-28",0.479
"2007-01-29",0
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0
"2007-02-11",0.2306
"2007-02-12",0.5893
"2007-02-13",0.7425
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0.0224
"2007-02-17",0.0415
"2007-02-18",0
"2007-02-19",1.8078
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",32.2336
"2007-02-25",11.2771
"2007-02-26",0
"2007-02-27",1.0338
"2007-02-28",2.5833
"2007-03-01",0
"2007-03-02",0
"2007-03-03",0
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",3.6482
"2007-03-13",0.2285
"2007-03-14",0
"2007-03-15",3.5795
"2007-03-16",5.0921
"2007-03-17",1.1254
"2007-03-18",0
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",3.7154
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",0
"2007-03-30",0
"2007-03-31",26.7891
"2007-04-01",8.8968
"2007-04-02",5.0227
"2007-04-03",11.6606
"2007-04-04",9.6944
"2007-04-05",23.1355
"2007-04-06",30.3444
"2007-04-07",39.7152
"2007-04-08",42.1748
"2007-04-09",32.8214
"2007-04-10",24.9663
"2007-04-11",2.0776
"2007-04-12",24.5396
"2007-04-13",7.5752
"2007-04-14",0.7041
"2007-04-15",18.2054
"2007-04-16",3.4592
"2007-04-17",1.2824
"2007-04-18",0.0002
"2007-04-19",5.4095
"2007-04-20",0
"2007-04-21",5.6039
"2007-04-22",10.0238
"2007-04-23",2.8846
"2007-04-24",6.1812
"2007-04-25",3.2136
"2007-04-26",7.3432
"2007-04-27",8.7183
"2007-04-28",3.6466
"2007-04-29",11.3252
"2007-04-30",2.9031
"2007-05-01",0.102
"2007-05-02",0.7615
"2007-05-03",0.9833
"2007-05-04",4.2612
"2007-05-05",6.7336
"2007-05-06",5.9164
"2007-05-07",7.0509
"2007-05-08",0
"2007-05-09",0.0224
"2007-05-10",0
"2007-05-11",0.3799
"2007-05-12",0.2345
"2007-05-13",0
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",0.8458
"2007-05-20",3.0115
"2007-05-21",0.6337
"2007-05-22",0
"2007-05-23",2.402
"2007-05-24",6.8895
"2007-05-25",4.0689
"2007-05-26",4.7553
"2007-05-27",13.4698
"2007-05-28",35.6578
"2007-05-29",0.5613
"2007-05-30",0.0997
"2007-05-31",0
"2007-06-01",0
"2007-06-02",0
"2007-06-03",2.5225
"2007-06-04",5.5178
"2007-06-05",4.222
"2007-06-06",4.6738
"2007-06-07",6.6674
"2007-06-08",0.1866
"2007-06-09",0
"2007-06-10",0.0265
"2007-06-11",2.6031
"2007-06-12",5.0292
"2007-06-13",7.1089
"2007-06-14",20.8155
"2007-06-15",26.7178
"2007-06-16",7.6011
"2007-06-17",3.8151
"2007-06-18",11.2522
"2007-06-19",12.7494
"2007-06-20",5.2476
"2007-06-21",23.9529
"2007-06-22",6.1771
"2007-06-23",2.773
"2007-06-24",5.4458
"2007-06-25",3.582
"2007-06-26",10.3626
"2007-06-27",1.9175
"2007-06-28",2.1904
"2007-06-29",0
"2007-06-30",0
"2007-07-01",0.2056
"2007-07-02",0
"2007-07-03",0.9008
"2007-07-04",0.8198
"2007-07-05",0
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0
"2007-07-11",8.451
"2007-07-12",3.8196
"2007-07-13",0
"2007-07-14",0.0319
"2007-07-15",0.0648
"2007-07-16",3.8905
"2007-07-17",2.6344
"2007-07-18",5.1534
"2007-07-19",8.7152
"2007-07-20",10.2299
"2007-07-21",0.1254
"2007-07-22",6.7828
"2007-07-23",25.5499
"2007-07-24",11.9392
"2007-07-25",3.142
"2007-07-26",0
"2007-07-27",0
"2007-07-28",0.0323
"2007-07-29",20.5014
"2007-07-30",11.2023
"2007-07-31",5.9853
"2007-08-01",1.6631
"2007-08-02",6.2268
"2007-08-03",0.1099
"2007-08-04",0
"2007-08-05",0.1352
"2007-08-06",0
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0.0805
"2007-08-10",4.9612
"2007-08-11",9.6263
"2007-08-12",1.7098
"2007-08-13",0.8086
"2007-08-14",0
"2007-08-15",0.2268
"2007-08-16",2.1844
"2007-08-17",0.7883
"2007-08-18",0.7134
"2007-08-19",5.5891
"2007-08-20",0.345
"2007-08-21",0.7608
"2007-08-22",4.0513
"2007-08-23",11.8149
"2007-08-24",11.0599
"2007-08-25",9.0379
"2007-08-26",1.9213
"2007-08-27",10.1167
"2007-08-28",8.9443
"2007-08-29",13.1313
"2007-08-30",18.1578
"2007-08-31",10.9119
"2007-09-01",3.0187
"2007-09-02",0.0515
"2007-09-03",0.314
"2007-09-04",3.3021
"2007-09-05",6.4647
"2007-09-06",3.7336
"2007-09-07",10.9332
"2007-09-08",2.4587
"2007-09-09",15.1974
"2007-09-10",0.2718
"2007-09-11",14.8774
"2007-09-12",8.2816
"2007-09-13",9.3486
"2007-09-14",1.2427
"2007-09-15",8.8284
"2007-09-16",3.5288
"2007-09-17",8.3563
"2007-09-18",3.3957
"2007-09-19",0.1811
"2007-09-20",0.388
"2007-09-21",0.2157
"2007-09-22",2.9152
"2007-09-23",0
"2007-09-24",0
"2007-09-25",0
"2007-09-26",4.2201
"2007-09-27",8.4871
"2007-09-28",11.5354
"2007-09-29",0.6048
"2007-09-30",0.1966
"2007-10-01",0.8974
"2007-10-02",7.084
"2007-10-03",11.3853
"2007-10-04",0
"2007-10-05",0.3718
"2007-10-06",8.2135
"2007-10-07",0.1201
"2007-10-08",0
"2007-10-09",5.7546
"2007-10-10",10.9045
"2007-10-11",11.2408
"2007-10-12",7.063
"2007-10-13",6.271
"2007-10-14",16.5825
"2007-10-15",22.0465
"2007-10-16",9.9019
"2007-10-17",10.5189
"2007-10-18",3.8537
"2007-10-19",7.7402
"2007-10-20",9.1177
"2007-10-21",6.528
"2007-10-22",7.8809
"2007-10-23",8.9935
"2007-10-24",16.6849
"2007-10-25",17.603
"2007-10-26",26.6888
"2007-10-27",17.2261
"2007-10-28",0.169
"2007-10-29",0
"2007-10-30",0
"2007-10-31",1.766
"2007-11-01",27.3943
"2007-11-02",9.294
"2007-11-03",5.8868
"2007-11-04",13.6555
"2007-11-05",13.5633
"2007-11-06",10.8543
"2007-11-07",18.1041
"2007-11-08",6.0336
"2007-11-09",4.4614
"2007-11-10",5.725
"2007-11-11",11.3926
"2007-11-12",12.1572
"2007-11-13",3.5695
"2007-11-14",0.0024
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",14.6089
"2007-11-20",5.9584
"2007-11-21",5.6459
"2007-11-22",2.9622
"2007-11-23",15.3871
"2007-11-24",13.9369
"2007-11-25",6.6537
"2007-11-26",0
"2007-11-27",0
"2007-11-28",4.075
"2007-11-29",0.5356
"2007-11-30",0
"2007-12-01",0
"2007-12-02",6.5921
"2007-12-03",1.2537
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0.01
"2007-12-08",7.6815
"2007-12-09",18.6031
"2007-12-10",4.9914
"2007-12-11",6.3939
"2007-12-12",38.8431
"2007-12-13",14.8963
"2007-12-14",30.7339
"2007-12-15",53.7872
"2007-12-16",30.8662
"2007-12-17",7.9393
"2007-12-18",3.8236
"2007-12-19",25.8064
"2007-12-20",33.7569
"2007-12-21",18.5881
"2007-12-22",32.866
"2007-12-23",29.4821
"2007-12-24",0
"2007-12-25",0
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",1.8987
"2008-01-04",1.6168
"2008-01-05",0
"2008-01-06",1.2554
"2008-01-07",15.4629
"2008-01-08",32.927
"2008-01-09",21.0112
"2008-01-10",17.0744
"2008-01-11",2.9228
"2008-01-12",23.3488
"2008-01-13",10.9794
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",5.1855
"2008-01-22",0.2038
"2008-01-23",0
"2008-01-24",0.9558
"2008-01-25",12.9003
"2008-01-26",5.5233
"2008-01-27",6.6905
"2008-01-28",5.5231
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0
"2008-02-02",0.8446
"2008-02-03",0
"2008-02-04",0
"2008-02-05",0
"2008-02-06",25.2955
"2008-02-07",13.6367
"2008-02-08",16.0978
"2008-02-09",3.2137
"2008-02-10",1.3317
"2008-02-11",0
"2008-02-12",0
"2008-02-13",0
"2008-02-14",0.2671
"2008-02-15",0
"2008-02-16",0
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",2.5006
"2008-02-21",0.1628
"2008-02-22",0
"2008-02-23",0
"2008-02-24",1.1929
"2008-02-25",0
"2008-02-26",0.5511
"2008-02-27",24.0014
"2008-02-28",6.5467
"2008-02-29",8.5699
"2008-03-01",0
"2008-03-02",5.8442
"2008-03-03",13.2963
"2008-03-04",24.6403
"2008-03-05",19.6084
"2008-03-06",38.8252
"2008-03-07",2.7598
"2008-03-08",13.4557
"2008-03-09",36.1311
"2008-03-10",1.4253
"2008-03-11",34.4424
"2008-03-12",52.0609
"2008-03-13",17.6258
"2008-03-14",20.0692
"2008-03-15",63.0338
"2008-03-16",32.1143
"2008-03-17",34.7981
"2008-03-18",11.5427
"2008-03-19",4.7682
"2008-03-20",0
"2008-03-21",1.2991
"2008-03-22",0
"2008-03-23",0
"2008-03-24",26.3752
"2008-03-25",0.7631
"2008-03-26",5.5824
"2008-03-27",0.9856
"2008-03-28",8.0377
"2008-03-29",3.4847
"2008-03-30",17.4631
"2008-03-31",12.9876
"2008-04-01",10.5629
"2008-04-02",14.2514
"2008-04-03",9.3805
"2008-04-04",7.8392
"2008-04-05",1.7755
"2008-04-06",20.0614
"2008-04-07",4.1639
"2008-04-08",19.7923
"2008-04-09",18.7007
"2008-04-10",20.7345
"2008-04-11",23.9708
"2008-04-12",10.2991
"2008-04-13",6.7337
"2008-04-14",4.9772
"2008-04-15",4.2061
"2008-04-16",13.6898
"2008-04-17",2.7102
"2008-04-18",1.1021
"2008-04-19",12.4927
"2008-04-20",4.6082
"2008-04-21",0.008
"2008-04-22",0
"2008-04-23",9.5367
"2008-04-24",12.5669
"2008-04-25",0.6736
"2008-04-26",1.6642
"2008-04-27",15.8663
"2008-04-28",32.2125
"2008-04-29",7.231
"2008-04-30",0.2311
"2008-05-01",0
"2008-05-02",0.1754
"2008-05-03",0
"2008-05-04",0.9129
"2008-05-05",1.6857
"2008-05-06",0.1643
"2008-05-07",0.0264
"2008-05-08",0.5474
"2008-05-09",1.4917
"2008-05-10",0
"2008-05-11",0
"2008-05-12",4.8539
"2008-05-13",1.3922
"2008-05-14",0.0002
"2008-05-15",0.1718
"2008-05-16",0.3309
"2008-05-17",0
"2008-05-18",0.0621
"2008-05-19",1.1273
"2008-05-20",1.3643
"2008-05-21",2.7535
"2008-05-22",12.0431
"2008-05-23",2.4442
"2008-05-24",1.9757
"2008-05-25",4.9378
"2008-05-26",7.3342
"2008-05-27",9.7394
"2008-05-28",6.9025
"2008-05-29",3.1579
"2008-05-30",0.1482
"2008-05-31",1.1319
"2008-06-01",12.3564
"2008-06-02",7.3562
"2008-06-03",2.9822
"2008-06-04",3.3589
"2008-06-05",0.5285
"2008-06-06",5.6426
"2008-06-07",13.5989
