,"(mm) Precipitation (CHIRPS) at Batticaloa, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",17.1322
"2007-01-09",5.5814
"2007-01-10",68.9893
"2007-01-11",5.7334
"2007-01-12",5.8084
"2007-01-13",0
"2007-01-14",0
"2007-01-15",0
"2007-01-16",8.1482
"2007-01-17",0.3027
"2007-01-18",0.0784
"2007-01-19",25.5859
"2007-01-20",4.8339
"2007-01-21",0.3024
"2007-01-22",0
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",97.7249
"2007-01-27",42.1879
"2007-01-28",0.7161
"2007-01-29",0
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0.0469
"2007-02-04",0
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0.0484
"2007-02-11",0.1403
"2007-02-12",0
"2007-02-13",4.2303
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0
"2007-02-17",0
"2007-02-18",0
"2007-02-19",0.2892
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",31.3589
"2007-02-25",26.3761
"2007-02-26",0
"2007-02-27",0
"2007-02-28",0
"2007-03-01",0
"2007-03-02",0
"2007-03-03",0
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",5.554
"2007-03-13",0
"2007-03-14",0
"2007-03-15",11.2365
"2007-03-16",1.4373
"2007-03-17",0
"2007-03-18",0
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",0.2119
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0.8653
"2007-03-29",0
"2007-03-30",0.1644
"2007-03-31",0.7264
"2007-04-01",0
"2007-04-02",0
"2007-04-03",0
"2007-04-04",3.8272
"2007-04-05",17.8528
"2007-04-06",5.7454
"2007-04-07",8.8697
"2007-04-08",23.8157
"2007-04-09",14.0871
"2007-04-10",14.6108
"2007-04-11",9.7131
"2007-04-12",9.9182
"2007-04-13",0
"2007-04-14",0
"2007-04-15",8.1662
"2007-04-16",2.9808
"2007-04-17",1.5609
"2007-04-18",0.0483
"2007-04-19",0
"2007-04-20",0
"2007-04-21",1.1959
"2007-04-22",0.4927
"2007-04-23",0
"2007-04-24",0
"2007-04-25",0
"2007-04-26",0
"2007-04-27",0.1596
"2007-04-28",0
"2007-04-29",1.6384
"2007-04-30",0
"2007-05-01",0
"2007-05-02",0.4065
"2007-05-03",0.4278
"2007-05-04",1.8763
"2007-05-05",0
"2007-05-06",0.2811
"2007-05-07",0.5497
"2007-05-08",0
"2007-05-09",0
"2007-05-10",0
"2007-05-11",0.0007
"2007-05-12",0
"2007-05-13",0.1976
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",0.0736
"2007-05-20",0
"2007-05-21",0
"2007-05-22",0
"2007-05-23",0.1366
"2007-05-24",0.5457
"2007-05-25",0
"2007-05-26",0
"2007-05-27",1.5692
"2007-05-28",7.5919
"2007-05-29",0.11
"2007-05-30",0
"2007-05-31",0.4472
"2007-06-01",0.0092
"2007-06-02",0
"2007-06-03",0
"2007-06-04",0.075
"2007-06-05",0.0085
"2007-06-06",0.0958
"2007-06-07",0.3278
"2007-06-08",0.0551
"2007-06-09",0.0015
"2007-06-10",0
"2007-06-11",0
"2007-06-12",0.0318
"2007-06-13",0.4946
"2007-06-14",1.4331
"2007-06-15",1.5257
"2007-06-16",0.6467
"2007-06-17",0.8384
"2007-06-18",1.1436
"2007-06-19",0.8615
"2007-06-20",0.5118
"2007-06-21",2.0697
"2007-06-22",0.3081
"2007-06-23",0.6065
"2007-06-24",0
"2007-06-25",0
"2007-06-26",0.7245
"2007-06-27",1.2225
"2007-06-28",1.1137
"2007-06-29",0
"2007-06-30",0
"2007-07-01",0
"2007-07-02",0.3696
"2007-07-03",0
"2007-07-04",0
"2007-07-05",0
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0
"2007-07-11",0.0494
"2007-07-12",0
"2007-07-13",0
"2007-07-14",0
"2007-07-15",0
"2007-07-16",1.1652
"2007-07-17",0
"2007-07-18",2.5651
"2007-07-19",0.9897
"2007-07-20",4.0027
"2007-07-21",0
"2007-07-22",1.6847
"2007-07-23",10.1296
"2007-07-24",6.1157
"2007-07-25",7.1436
"2007-07-26",0
"2007-07-27",0
"2007-07-28",2.1797
"2007-07-29",14.5468
"2007-07-30",7.6656
"2007-07-31",4.3429
"2007-08-01",1.7569
"2007-08-02",1.6505
"2007-08-03",0.0049
"2007-08-04",0.0002
"2007-08-05",0.8776
"2007-08-06",0
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0
"2007-08-10",1.386
"2007-08-11",3.6876
"2007-08-12",1.6582
"2007-08-13",0.0124
"2007-08-14",0
"2007-08-15",0
"2007-08-16",0
"2007-08-17",1.5396
"2007-08-18",0.0002
"2007-08-19",3.1258
"2007-08-20",0.1096
"2007-08-21",0.0786
"2007-08-22",5.1391
"2007-08-23",8.8055
"2007-08-24",2.0583
"2007-08-25",2.3907
"2007-08-26",0
"2007-08-27",0.265
"2007-08-28",0.2012
"2007-08-29",1.5687
"2007-08-30",8.6846
"2007-08-31",2.5899
"2007-09-01",0.6129
"2007-09-02",1.5417
"2007-09-03",0.0324
"2007-09-04",0.98
"2007-09-05",4.2931
"2007-09-06",0
"2007-09-07",0
"2007-09-08",0
"2007-09-09",0.0004
"2007-09-10",0
"2007-09-11",0.2947
"2007-09-12",6.8337
"2007-09-13",5.5653
"2007-09-14",1.6178
"2007-09-15",1.2728
"2007-09-16",0.789
"2007-09-17",0.8283
"2007-09-18",1.1913
"2007-09-19",0.0016
"2007-09-20",0
"2007-09-21",0
"2007-09-22",0
"2007-09-23",0
"2007-09-24",0
"2007-09-25",0
"2007-09-26",0
"2007-09-27",3.8561
"2007-09-28",12.723
"2007-09-29",0.1413
"2007-09-30",1.7878
"2007-10-01",4.4433
"2007-10-02",0.5741
"2007-10-03",0.5726
"2007-10-04",0.0813
"2007-10-05",0
"2007-10-06",0
"2007-10-07",0
"2007-10-08",0
"2007-10-09",0
"2007-10-10",0.0139
"2007-10-11",7.6224
"2007-10-12",1.0284
"2007-10-13",9.842
"2007-10-14",24.651
"2007-10-15",17.5621
"2007-10-16",9.2836
"2007-10-17",8.3496
"2007-10-18",3.6927
"2007-10-19",0.5068
"2007-10-20",11.0442
"2007-10-21",8.7064
"2007-10-22",11.5617
"2007-10-23",6.0561
"2007-10-24",12.2212
"2007-10-25",10.9591
"2007-10-26",18.1879
"2007-10-27",20.2629
"2007-10-28",0
"2007-10-29",0
"2007-10-30",0.0011
"2007-10-31",9.7105
"2007-11-01",30.2217
"2007-11-02",0
"2007-11-03",0.3262
"2007-11-04",0.021
"2007-11-05",0
"2007-11-06",11.9124
"2007-11-07",28.3092
"2007-11-08",0
"2007-11-09",1.652
"2007-11-10",0.0526
"2007-11-11",1.1107
"2007-11-12",0
"2007-11-13",0
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",3.0903
"2007-11-19",29.3817
"2007-11-20",5.7808
"2007-11-21",0
"2007-11-22",0
"2007-11-23",5.079
"2007-11-24",7.5413
"2007-11-25",0
"2007-11-26",0
"2007-11-27",0
"2007-11-28",0
"2007-11-29",0
"2007-11-30",0
"2007-12-01",0
"2007-12-02",25.5534
"2007-12-03",0
"2007-12-04",0
"2007-12-05",0.0517
"2007-12-06",0
"2007-12-07",0
"2007-12-08",6.6234
"2007-12-09",17.653
"2007-12-10",11.4048
"2007-12-11",23.5227
"2007-12-12",56.2955
"2007-12-13",45.7962
"2007-12-14",20.3068
"2007-12-15",59.8534
"2007-12-16",36.0114
"2007-12-17",21.2011
"2007-12-18",11.9513
"2007-12-19",44.5816
"2007-12-20",38.0468
"2007-12-21",39.9071
"2007-12-22",45.3136
"2007-12-23",81.6333
"2007-12-24",0
"2007-12-25",0
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",2.0962
"2008-01-04",0
"2008-01-05",10.0804
"2008-01-06",0
"2008-01-07",2.2743
"2008-01-08",19.1342
"2008-01-09",65.1589
"2008-01-10",4.5975
"2008-01-11",23.6374
"2008-01-12",19.1038
"2008-01-13",17.473
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",10.6914
"2008-01-21",14.7546
"2008-01-22",0
"2008-01-23",0
"2008-01-24",0
"2008-01-25",0.6823
"2008-01-26",6.7795
"2008-01-27",8.6202
"2008-01-28",0
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0
"2008-02-02",0
"2008-02-03",0
"2008-02-04",0
"2008-02-05",11.4377
"2008-02-06",18.9455
"2008-02-07",22.6933
"2008-02-08",19.1463
"2008-02-09",0
"2008-02-10",0
"2008-02-11",0
"2008-02-12",0
"2008-02-13",12.5999
"2008-02-14",0
"2008-02-15",0.8588
"2008-02-16",0
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",0
"2008-02-21",0
"2008-02-22",0
"2008-02-23",0
"2008-02-24",0
"2008-02-25",0
"2008-02-26",18.6239
"2008-02-27",2.1253
"2008-02-28",14.3626
"2008-02-29",9.6245
"2008-03-01",0
"2008-03-02",0
"2008-03-03",3.4724
"2008-03-04",0
"2008-03-05",0
"2008-03-06",30.4799
"2008-03-07",1.0253
"2008-03-08",14.1102
"2008-03-09",18.0709
"2008-03-10",8.0974
"2008-03-11",27.7547
"2008-03-12",20.7052
"2008-03-13",0.7
"2008-03-14",2.256
"2008-03-15",38.8584
"2008-03-16",16.7203
"2008-03-17",21.8746
"2008-03-18",1.7276
"2008-03-19",0
"2008-03-20",0
"2008-03-21",1.2056
"2008-03-22",0
"2008-03-23",0
"2008-03-24",0.028
"2008-03-25",0
"2008-03-26",0.0515
"2008-03-27",0
"2008-03-28",0
"2008-03-29",0
"2008-03-30",13.186
"2008-03-31",11.2642
"2008-04-01",4.258
"2008-04-02",4.756
"2008-04-03",1.603
"2008-04-04",2.872
"2008-04-05",0.0735
"2008-04-06",5.0596
"2008-04-07",11.1052
"2008-04-08",8.7449
"2008-04-09",5.5393
"2008-04-10",10.4439
"2008-04-11",3.9946
"2008-04-12",3.1726
"2008-04-13",0.0583
"2008-04-14",0
"2008-04-15",0.5154
"2008-04-16",3.1325
"2008-04-17",0
"2008-04-18",0
"2008-04-19",0
"2008-04-20",0
"2008-04-21",0
"2008-04-22",0.9192
"2008-04-23",3.3937
"2008-04-24",3.8578
"2008-04-25",0.4242
"2008-04-26",0.7454
"2008-04-27",7.0905
"2008-04-28",8.1421
"2008-04-29",1.6694
"2008-04-30",0
"2008-05-01",0
"2008-05-02",0
"2008-05-03",0
"2008-05-04",0
"2008-05-05",0
"2008-05-06",0
"2008-05-07",0.2544
"2008-05-08",0
"2008-05-09",0.4596
"2008-05-10",0
"2008-05-11",0
"2008-05-12",0.6929
"2008-05-13",0
"2008-05-14",0
"2008-05-15",0
"2008-05-16",0
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0.0082
"2008-05-20",0
"2008-05-21",0.1199
"2008-05-22",1.4134
"2008-05-23",0.3894
"2008-05-24",0
"2008-05-25",0.6925
"2008-05-26",0.4025
"2008-05-27",0.8537
"2008-05-28",0.701
"2008-05-29",0.4133
"2008-05-30",0
"2008-05-31",0.0552
"2008-06-01",1.5778
"2008-06-02",0.279
"2008-06-03",0.4693
"2008-06-04",0.0033
"2008-06-05",0
"2008-06-06",0.5212
"2008-06-07",1.0042
"2008-06-08",0.7114
"2008-06-09",1.0882
"2008-06-10",0.0575
"2008-06-11",0.0016
"2008-06-12",0.6121
"2008-06-13",0
"2008-06-14",0.1686
"2008-06-15",0
"2008-06-16",0
"2008-06-17",0.1053
"2008-06-18",0
"2008-06-19",0
"2008-06-20",0.3603
"2008-06-21",0.2244
"2008-06-22",0.3964
"2008-06-23",0
"2008-06-24",0
"2008-06-25",0.4219
"2008-06-26",0
"2008-06-27",0
"2008-06-28",0
"2008-06-29",0
"2008-06-30",0
"2008-07-01",0.0694
"2008-07-02",0
