,"(mm) Precipitation (CHIRPS) at Colombo, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0
"2007-01-09",22.9032
"2007-01-10",12.2081
"2007-01-11",33.2355
"2007-01-12",0
"2007-01-13",2.9356
"2007-01-14",5.1314
"2007-01-15",0
"2007-01-16",0.0893
"2007-01-17",3.5284
"2007-01-18",0
"2007-01-19",14.9902
"2007-01-20",0
"2007-01-21",1.5087
"2007-01-22",0.0028
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",0.3824
"2007-01-27",26.4523
"2007-01-28",0
"2007-01-29",7.7683
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0
"2007-02-04",0.278
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0.3936
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0
"2007-02-11",0.4638
"2007-02-12",0
"2007-02-13",0
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0
"2007-02-17",0.3733
"2007-02-18",1.4539
"2007-02-19",0.8359
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",5.4555
"2007-02-25",23.3983
"2007-02-26",0.135
"2007-02-27",11.2558
"2007-02-28",0.4009
"2007-03-01",0
"2007-03-02",3.5761
"2007-03-03",14.2242
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",7.1002
"2007-03-13",10.6977
"2007-03-14",0
"2007-03-15",11.1056
"2007-03-16",7.6124
"2007-03-17",9.9804
"2007-03-18",0
"2007-03-19",0
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",0.1136
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",0
"2007-03-30",4.6071
"2007-03-31",23.5266
"2007-04-01",18.2182
"2007-04-02",12.4863
"2007-04-03",21.8822
"2007-04-04",23.4138
"2007-04-05",32.9263
"2007-04-06",36.4331
"2007-04-07",43.6651
"2007-04-08",50.157
"2007-04-09",35.2508
"2007-04-10",45.6885
"2007-04-11",38.165
"2007-04-12",12.8801
"2007-04-13",23.6344
"2007-04-14",0.3159
"2007-04-15",0
"2007-04-16",0
"2007-04-17",0
"2007-04-18",0
"2007-04-19",4.9781
"2007-04-20",2.4202
"2007-04-21",12.4958
"2007-04-22",21.1509
"2007-04-23",21.9972
"2007-04-24",18.0098
"2007-04-25",21.9972
"2007-04-26",25.2149
"2007-04-27",22.5254
"2007-04-28",22.1535
"2007-04-29",21.3442
"2007-04-30",14.7708
"2007-05-01",0
"2007-05-02",0.5671
"2007-05-03",33.6966
"2007-05-04",33.8129
"2007-05-05",9.9845
"2007-05-06",10.0505
"2007-05-07",19.7191
"2007-05-08",11.2188
"2007-05-09",29.7825
"2007-05-10",18.1871
"2007-05-11",1.3626
"2007-05-12",47
"2007-05-13",0
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",0
"2007-05-20",0
"2007-05-21",0.6245
"2007-05-22",0
"2007-05-23",5.9775
"2007-05-24",10.0163
"2007-05-25",0
"2007-05-26",0
"2007-05-27",3.4221
"2007-05-28",66.902
"2007-05-29",13.7971
"2007-05-30",0
"2007-05-31",12.2415
"2007-06-01",0.0039
"2007-06-02",0
"2007-06-03",0
"2007-06-04",22.1871
"2007-06-05",2.8509
"2007-06-06",19.3428
"2007-06-07",20.4417
"2007-06-08",3.8621
"2007-06-09",0
"2007-06-10",0
"2007-06-11",2.7885
"2007-06-12",10.0323
"2007-06-13",24.725
"2007-06-14",56.1352
"2007-06-15",32.0915
"2007-06-16",8.2073
"2007-06-17",0
"2007-06-18",22.9689
"2007-06-19",33.6849
"2007-06-20",0
"2007-06-21",56.646
"2007-06-22",79.3884
"2007-06-23",17.2149
"2007-06-24",14.3227
"2007-06-25",0.7729
"2007-06-26",22.7706
"2007-06-27",0
"2007-06-28",5.3856
"2007-06-29",0
"2007-06-30",0
"2007-07-01",0
"2007-07-02",12.0468
"2007-07-03",33.532
"2007-07-04",14.3603
"2007-07-05",0
"2007-07-06",5.2319
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0.1785
"2007-07-11",9.5909
"2007-07-12",18.9226
"2007-07-13",0
"2007-07-14",0
"2007-07-15",0.4929
"2007-07-16",5.0017
"2007-07-17",14.8541
"2007-07-18",2.2146
"2007-07-19",26.6737
"2007-07-20",2.3966
"2007-07-21",2.2138
"2007-07-22",9.4014
"2007-07-23",23.5264
"2007-07-24",1.3101
"2007-07-25",0.3427
"2007-07-26",0
"2007-07-27",0
"2007-07-28",0
"2007-07-29",18.4966
"2007-07-30",9.6242
"2007-07-31",4.8914
"2007-08-01",0
"2007-08-02",18.2086
"2007-08-03",2.25
"2007-08-04",4.3152
"2007-08-05",0
"2007-08-06",0
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0.0449
"2007-08-10",6.3644
"2007-08-11",8.5402
"2007-08-12",5.7386
"2007-08-13",0.6257
"2007-08-14",0
"2007-08-15",0.0015
"2007-08-16",0
"2007-08-17",0
"2007-08-18",0
"2007-08-19",12.1676
"2007-08-20",0
"2007-08-21",7.1369
"2007-08-22",0
"2007-08-23",18.9778
"2007-08-24",17.1807
"2007-08-25",14.266
"2007-08-26",25.4027
"2007-08-27",36.2406
"2007-08-28",5.438
"2007-08-29",22.7499
"2007-08-30",37.0824
"2007-08-31",30.6657
"2007-09-01",0.5202
"2007-09-02",0
"2007-09-03",0
"2007-09-04",1.0143
"2007-09-05",7.9847
"2007-09-06",0
"2007-09-07",53.5379
"2007-09-08",27.2632
"2007-09-09",36.1532
"2007-09-10",0
"2007-09-11",17.7549
"2007-09-12",3.4354
"2007-09-13",23.5272
"2007-09-14",8.905
"2007-09-15",0.7861
"2007-09-16",19.3116
"2007-09-17",36.762
"2007-09-18",12.4028
"2007-09-19",1.4833
"2007-09-20",2.449
"2007-09-21",0
"2007-09-22",5.3042
"2007-09-23",3.5748
"2007-09-24",4.8677
"2007-09-25",0
"2007-09-26",4.9902
"2007-09-27",5.0887
"2007-09-28",4.5395
"2007-09-29",1.9092
"2007-09-30",0.4429
"2007-10-01",1.8369
"2007-10-02",5.7436
"2007-10-03",22.4827
"2007-10-04",2.1351
"2007-10-05",10.6015
"2007-10-06",19.5951
"2007-10-07",9.7851
"2007-10-08",13.0665
"2007-10-09",8.1761
"2007-10-10",16.3458
"2007-10-11",5.2438
"2007-10-12",12.6872
"2007-10-13",11.5832
"2007-10-14",34.2451
"2007-10-15",38.1505
"2007-10-16",23.1324
"2007-10-17",22.527
"2007-10-18",11.7886
"2007-10-19",9.2983
"2007-10-20",11.473
"2007-10-21",10.8596
"2007-10-22",35.1109
"2007-10-23",7.7487
"2007-10-24",14.8803
"2007-10-25",28.0539
"2007-10-26",45.3024
"2007-10-27",9.7516
"2007-10-28",0.5094
"2007-10-29",0.1719
"2007-10-30",0
"2007-10-31",0
"2007-11-01",16.6349
"2007-11-02",14.4504
"2007-11-03",11.9436
"2007-11-04",20.15
"2007-11-05",17.4017
"2007-11-06",18.5917
"2007-11-07",14.189
"2007-11-08",7.615
"2007-11-09",1.6871
"2007-11-10",0.4197
"2007-11-11",2.3386
"2007-11-12",21.2065
"2007-11-13",0
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",16.2006
"2007-11-20",26.5273
"2007-11-21",20.2322
"2007-11-22",23.7196
"2007-11-23",3.7054
"2007-11-24",13.4547
"2007-11-25",0
"2007-11-26",2.4065
"2007-11-27",0
"2007-11-28",0
"2007-11-29",3.5481
"2007-11-30",0
"2007-12-01",0
"2007-12-02",15.1586
"2007-12-03",0
"2007-12-04",0.1059
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0
"2007-12-08",4.2499
"2007-12-09",2.2485
"2007-12-10",6.9139
"2007-12-11",0
"2007-12-12",15.01
"2007-12-13",14.0644
"2007-12-14",22.0369
"2007-12-15",13.4068
"2007-12-16",10.1939
"2007-12-17",0.0394
"2007-12-18",12.638
"2007-12-19",5.1433
"2007-12-20",10.7683
"2007-12-21",20.9384
"2007-12-22",7.3259
"2007-12-23",8.1901
"2007-12-24",0
"2007-12-25",0.5856
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",5.5509
"2008-01-04",4.6857
"2008-01-05",0.1036
"2008-01-06",4.611
"2008-01-07",0
"2008-01-08",0.4468
"2008-01-09",16.9127
"2008-01-10",17.6447
"2008-01-11",0.1731
"2008-01-12",1.8189
"2008-01-13",12.5374
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",3.611
"2008-01-22",0
"2008-01-23",0
"2008-01-24",0
"2008-01-25",3.3386
"2008-01-26",2.4528
"2008-01-27",4.3117
"2008-01-28",0
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0
"2008-02-02",0
"2008-02-03",0
"2008-02-04",3.4617
"2008-02-05",0
"2008-02-06",6.7273
"2008-02-07",11.3917
"2008-02-08",10.2564
"2008-02-09",2.9544
"2008-02-10",0.627
"2008-02-11",24.9054
"2008-02-12",23.9451
"2008-02-13",0.4757
"2008-02-14",3.0805
"2008-02-15",13.4145
"2008-02-16",3.8201
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0.1475
"2008-02-20",3.8607
"2008-02-21",10.6165
"2008-02-22",0
"2008-02-23",0
"2008-02-24",0.519
"2008-02-25",0
"2008-02-26",0
"2008-02-27",9.1577
"2008-02-28",4.5697
"2008-02-29",1.9605
"2008-03-01",15.1214
"2008-03-02",20.7539
"2008-03-03",18.2058
"2008-03-04",16.5469
"2008-03-05",26.6104
"2008-03-06",21.5415
"2008-03-07",0.0856
"2008-03-08",0
"2008-03-09",32.2756
"2008-03-10",13.2832
"2008-03-11",47.3032
"2008-03-12",56.275
"2008-03-13",50.9893
"2008-03-14",32.238
"2008-03-15",59.6034
"2008-03-16",42.5508
"2008-03-17",31.8233
"2008-03-18",21.5546
"2008-03-19",5.9213
"2008-03-20",0
"2008-03-21",1.2688
"2008-03-22",2.5652
"2008-03-23",12.2857
"2008-03-24",38.346
"2008-03-25",1.0735
"2008-03-26",3.3129
"2008-03-27",11.2867
"2008-03-28",23.4013
"2008-03-29",23.9914
"2008-03-30",8.5641
"2008-03-31",4.2963
"2008-04-01",7.6377
"2008-04-02",14.9855
"2008-04-03",0
"2008-04-04",6.0479
"2008-04-05",20.9503
"2008-04-06",20.1672
"2008-04-07",30.1087
"2008-04-08",21.105
"2008-04-09",19.5473
"2008-04-10",38.3881
"2008-04-11",14.0475
"2008-04-12",26.271
"2008-04-13",11.4706
"2008-04-14",17.27
"2008-04-15",9.169
"2008-04-16",19.5298
"2008-04-17",11.2419
"2008-04-18",32.7297
"2008-04-19",29.9278
"2008-04-20",3.8882
"2008-04-21",3.4941
"2008-04-22",6.1055
"2008-04-23",11.4479
"2008-04-24",19.4927
"2008-04-25",10.9401
"2008-04-26",15.3496
"2008-04-27",36.29
"2008-04-28",58.064
"2008-04-29",7.258
"2008-04-30",1.6288
"2008-05-01",5.0806
"2008-05-02",0
"2008-05-03",0
"2008-05-04",1.392
"2008-05-05",0.0505
"2008-05-06",10.2819
"2008-05-07",8.1808
"2008-05-08",2.4868
"2008-05-09",14.9194
"2008-05-10",0
"2008-05-11",0
"2008-05-12",28.4471
"2008-05-13",2.9834
"2008-05-14",10.3385
"2008-05-15",0
"2008-05-16",2.4397
"2008-05-17",0
"2008-05-18",0.091
"2008-05-19",0
"2008-05-20",0
"2008-05-21",0
"2008-05-22",30.9718
"2008-05-23",13.661
"2008-05-24",0.1612
"2008-05-25",12.5612
"2008-05-26",7.953
"2008-05-27",20.9297
"2008-05-28",22.2938
"2008-05-29",15.0656
"2008-05-30",15.6101
"2008-05-31",22.2955
"2008-06-01",61.6247
"2008-06-02",42.0475
"2008-06-03",27.5035
"2008-06-04",0
"2008-06-05",0.5901
"2008-06-06",6.2243
"2008-06-07",27.564
"2008-06-08",25.4051
"2008-06-09",17.9996
"2008-06-10",0
"2008-06-11",0
"2008-06-12",2.7364
"2008-06-13",0
"2008-06-14",16.68
