,"(mm) Precipitation (CHIRPS) at Galle, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0
"2007-01-09",8.2495
"2007-01-10",15.9042
"2007-01-11",55.3397
"2007-01-12",4.0946
"2007-01-13",0
"2007-01-14",2.3723
"2007-01-15",0
"2007-01-16",0.1279
"2007-01-17",0.6082
"2007-01-18",2.5188
"2007-01-19",19.7195
"2007-01-20",0
"2007-01-21",8.7147
"2007-01-22",6.9318
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",6.5123
"2007-01-27",38.2166
"2007-01-28",0
"2007-01-29",2.8251
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0
"2007-02-03",0.0422
"2007-02-04",1.3051
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0
"2007-02-11",0.9514
"2007-02-12",0
"2007-02-13",0
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0
"2007-02-17",0
"2007-02-18",0
"2007-02-19",0
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0
"2007-02-24",18.3437
"2007-02-25",25.1868
"2007-02-26",6.1745
"2007-02-27",10.1341
"2007-02-28",3.1678
"2007-03-01",0.2207
"2007-03-02",0.028
"2007-03-03",1.3113
"2007-03-04",0
"2007-03-05",0
"2007-03-06",0
"2007-03-07",0.1174
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",3.5958
"2007-03-13",5.1325
"2007-03-14",1.4439
"2007-03-15",12.2023
"2007-03-16",14.9296
"2007-03-17",14.4375
"2007-03-18",4.2827
"2007-03-19",0.1605
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",16.306
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",11.4862
"2007-03-30",3.7457
"2007-03-31",0.4653
"2007-04-01",8.4867
"2007-04-02",1.3618
"2007-04-03",25.3166
"2007-04-04",18.5988
"2007-04-05",30.4536
"2007-04-06",36.6551
"2007-04-07",42.0014
"2007-04-08",44.9345
"2007-04-09",40.7485
"2007-04-10",28.6352
"2007-04-11",36.5639
"2007-04-12",36.0683
"2007-04-13",7.9412
"2007-04-14",9.836
"2007-04-15",0
"2007-04-16",0
"2007-04-17",0
"2007-04-18",0
"2007-04-19",1.2681
"2007-04-20",0.2933
"2007-04-21",2.6441
"2007-04-22",12.708
"2007-04-23",19.9297
"2007-04-24",11.4266
"2007-04-25",20.6386
"2007-04-26",22.3234
"2007-04-27",24.2018
"2007-04-28",17.4233
"2007-04-29",9.2164
"2007-04-30",10.0073
"2007-05-01",1.6805
"2007-05-02",7.5462
"2007-05-03",40.7323
"2007-05-04",29.0331
"2007-05-05",11.9333
"2007-05-06",9.2222
"2007-05-07",24.3568
"2007-05-08",3.4386
"2007-05-09",11.6421
"2007-05-10",6.0444
"2007-05-11",0
"2007-05-12",26.52
"2007-05-13",0
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",0
"2007-05-20",0
"2007-05-21",0
"2007-05-22",0
"2007-05-23",4.8806
"2007-05-24",0.071
"2007-05-25",0
"2007-05-26",0
"2007-05-27",0
"2007-05-28",85.7244
"2007-05-29",15.5054
"2007-05-30",0
"2007-05-31",0
"2007-06-01",0.4112
"2007-06-02",0
"2007-06-03",2.5988
"2007-06-04",0
"2007-06-05",20.4929
"2007-06-06",7.1771
"2007-06-07",0.7581
"2007-06-08",4.8745
"2007-06-09",0
"2007-06-10",0
"2007-06-11",3.1605
"2007-06-12",13.6632
"2007-06-13",25.6871
"2007-06-14",78.4053
"2007-06-15",42.6727
"2007-06-16",9.1684
"2007-06-17",9.9081
"2007-06-18",27.9608
"2007-06-19",35.9574
"2007-06-20",15.9116
"2007-06-21",52.5015
"2007-06-22",46.3522
"2007-06-23",14.417
"2007-06-24",0
"2007-06-25",0
"2007-06-26",24.4738
"2007-06-27",0.0799
"2007-06-28",7.5942
"2007-06-29",8.1645
"2007-06-30",3.0572
"2007-07-01",0
"2007-07-02",1.9132
"2007-07-03",16.9573
"2007-07-04",27.8273
"2007-07-05",0
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0.0875
"2007-07-09",0
"2007-07-10",0.6049
"2007-07-11",2.3178
"2007-07-12",1.897
"2007-07-13",4.8355
"2007-07-14",1.9977
"2007-07-15",10.7843
"2007-07-16",27.788
"2007-07-17",0.1001
"2007-07-18",3.0046
"2007-07-19",14.5694
"2007-07-20",4.8425
"2007-07-21",4.6683
"2007-07-22",0
"2007-07-23",28.8097
"2007-07-24",9.081
"2007-07-25",0
"2007-07-26",0
"2007-07-27",0
"2007-07-28",0
"2007-07-29",14.8375
"2007-07-30",11.0497
"2007-07-31",0.2671
"2007-08-01",3.5329
"2007-08-02",14.699
"2007-08-03",18.7449
"2007-08-04",0
"2007-08-05",0
"2007-08-06",0
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0.3556
"2007-08-10",0
"2007-08-11",12.0908
"2007-08-12",3.2268
"2007-08-13",8.8079
"2007-08-14",0
"2007-08-15",0
"2007-08-16",0
"2007-08-17",1.7132
"2007-08-18",10.9546
"2007-08-19",3.9817
"2007-08-20",0
"2007-08-21",8.4842
"2007-08-22",0
"2007-08-23",14.1645
"2007-08-24",11.3109
"2007-08-25",25.3228
"2007-08-26",8.9545
"2007-08-27",2.9128
"2007-08-28",23.2695
"2007-08-29",7.29
"2007-08-30",81.7737
"2007-08-31",66.4337
"2007-09-01",17.8256
"2007-09-02",13.6583
"2007-09-03",0
"2007-09-04",1.8848
"2007-09-05",19.9091
"2007-09-06",4.5195
"2007-09-07",25.6136
"2007-09-08",5.6072
"2007-09-09",38.2111
"2007-09-10",0
"2007-09-11",0
"2007-09-12",17.1751
"2007-09-13",32.176
"2007-09-14",5.0208
"2007-09-15",17.2195
"2007-09-16",17.7262
"2007-09-17",60.9786
"2007-09-18",1.9623
"2007-09-19",2.6547
"2007-09-20",11.9765
"2007-09-21",13.9077
"2007-09-22",42.0611
"2007-09-23",2.8637
"2007-09-24",2.4389
"2007-09-25",0
"2007-09-26",0
"2007-09-27",3.4276
"2007-09-28",12.1647
"2007-09-29",0
"2007-09-30",0
"2007-10-01",2.1984
"2007-10-02",46.4508
"2007-10-03",16.1104
"2007-10-04",0
"2007-10-05",14.6622
"2007-10-06",52.3739
"2007-10-07",4.6923
"2007-10-08",7.7998
"2007-10-09",2.6753
"2007-10-10",6.5609
"2007-10-11",20.5061
"2007-10-12",0
"2007-10-13",0
"2007-10-14",31.314
"2007-10-15",35.672
"2007-10-16",20.3467
"2007-10-17",50.9065
"2007-10-18",31.1449
"2007-10-19",2.3662
"2007-10-20",7.4162
"2007-10-21",28.6513
"2007-10-22",12.14
"2007-10-23",8.609
"2007-10-24",0.3756
"2007-10-25",13.9471
"2007-10-26",47.1463
"2007-10-27",0.9324
"2007-10-28",14.569
"2007-10-29",4.0804
"2007-10-30",0
"2007-10-31",0.1205
"2007-11-01",15.368
"2007-11-02",16.0902
"2007-11-03",12.4277
"2007-11-04",8.3202
"2007-11-05",23.3522
"2007-11-06",19.6916
"2007-11-07",12.1447
"2007-11-08",9.4055
"2007-11-09",6.0289
"2007-11-10",7.101
"2007-11-11",2.9902
"2007-11-12",22.3579
"2007-11-13",0.0441
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",12.1667
"2007-11-20",18.531
"2007-11-21",5.7583
"2007-11-22",4.6137
"2007-11-23",5.2388
"2007-11-24",21.0652
"2007-11-25",5.8297
"2007-11-26",11.0517
"2007-11-27",0
"2007-11-28",0.0247
"2007-11-29",3.2966
"2007-11-30",0
"2007-12-01",0
"2007-12-02",3.2049
"2007-12-03",6.8441
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0.5192
"2007-12-08",3.4398
"2007-12-09",4.0116
"2007-12-10",8.6569
"2007-12-11",1.8011
"2007-12-12",23.3786
"2007-12-13",0.7696
"2007-12-14",24.1786
"2007-12-15",16.1826
"2007-12-16",9.5462
"2007-12-17",5.9144
"2007-12-18",11.0375
"2007-12-19",4.0244
"2007-12-20",10.1821
"2007-12-21",18.2389
"2007-12-22",16.99
"2007-12-23",13.8261
"2007-12-24",0
"2007-12-25",0.4111
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0.0256
"2008-01-03",6.8424
"2008-01-04",1.6409
"2008-01-05",0
"2008-01-06",17.6918
"2008-01-07",13.943
"2008-01-08",4.0039
"2008-01-09",19.2157
"2008-01-10",17.3053
"2008-01-11",0.9261
"2008-01-12",7.3029
"2008-01-13",14.0548
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",7.7979
"2008-01-22",3.1272
"2008-01-23",0
"2008-01-24",1.6018
"2008-01-25",3.5744
"2008-01-26",4.7568
"2008-01-27",3.7703
"2008-01-28",0.0477
"2008-01-29",0
"2008-01-30",0.2198
"2008-01-31",0
"2008-02-01",0
"2008-02-02",0
"2008-02-03",0
"2008-02-04",1.3497
"2008-02-05",0
"2008-02-06",7.8638
"2008-02-07",14.3132
"2008-02-08",7.1137
"2008-02-09",0
"2008-02-10",0
"2008-02-11",4.6698
"2008-02-12",17.7861
"2008-02-13",17.025
"2008-02-14",14.8766
"2008-02-15",9.8219
"2008-02-16",0
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0.252
"2008-02-20",11.5453
"2008-02-21",19.0027
"2008-02-22",1.3066
"2008-02-23",0
"2008-02-24",0.0852
"2008-02-25",0
"2008-02-26",1.677
"2008-02-27",8.9664
"2008-02-28",0.7397
"2008-02-29",0.4237
"2008-03-01",1.962
"2008-03-02",6.2671
"2008-03-03",18.2676
"2008-03-04",2.3531
"2008-03-05",18.8059
"2008-03-06",28.2832
"2008-03-07",1.4633
"2008-03-08",0
"2008-03-09",15.6623
"2008-03-10",11.1737
"2008-03-11",38.3659
"2008-03-12",52.4753
"2008-03-13",8.9721
"2008-03-14",42.1406
"2008-03-15",111.1988
"2008-03-16",26.8325
"2008-03-17",46.2144
"2008-03-18",6.0347
"2008-03-19",30.4177
"2008-03-20",5.3852
"2008-03-21",0.8346
"2008-03-22",0
"2008-03-23",0
"2008-03-24",13.0437
"2008-03-25",0
"2008-03-26",0.2102
"2008-03-27",15.3665
"2008-03-28",18.8947
"2008-03-29",10.2768
"2008-03-30",4.2598
"2008-03-31",0
"2008-04-01",3.9144
"2008-04-02",9.6709
"2008-04-03",0.0941
"2008-04-04",3.0284
"2008-04-05",12.208
"2008-04-06",22.426
"2008-04-07",26.3958
"2008-04-08",26.6538
"2008-04-09",13.6484
"2008-04-10",31.307
"2008-04-11",10.0288
"2008-04-12",8.115
"2008-04-13",9.7095
"2008-04-14",6.4485
"2008-04-15",14.7707
"2008-04-16",18.3454
"2008-04-17",5.6698
"2008-04-18",17.7878
"2008-04-19",15.2597
"2008-04-20",1.6041
"2008-04-21",0.2926
"2008-04-22",0.1004
"2008-04-23",22.956
"2008-04-24",15.8539
"2008-04-25",0.8441
"2008-04-26",9.5288
"2008-04-27",27.1216
"2008-04-28",57.0412
"2008-04-29",11.1506
"2008-04-30",0
"2008-05-01",0
"2008-05-02",0
"2008-05-03",5.5928
"2008-05-04",30.9786
"2008-05-05",13.5341
"2008-05-06",2.6684
"2008-05-07",13.5461
"2008-05-08",1.7356
"2008-05-09",8.3417
"2008-05-10",0
"2008-05-11",0
"2008-05-12",11.8632
"2008-05-13",0.0668
"2008-05-14",0
"2008-05-15",0
"2008-05-16",0
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0
"2008-05-20",0
"2008-05-21",0
"2008-05-22",8.1503
"2008-05-23",23.5718
"2008-05-24",0
"2008-05-25",0
"2008-05-26",6.9275
"2008-05-27",20.4863
"2008-05-28",19.1927
"2008-05-29",25.5893
"2008-05-30",15.9134
"2008-05-31",30.9841
"2008-06-01",76.1053
"2008-06-02",44.0099
"2008-06-03",24.0691
"2008-06-04",0
"2008-06-05",0
"2008-06-06",12.049
"2008-06-07",58.1636
"2008-06-08",37.8559
"2008-06-09",12.7697
"2008-06-10",0
"2008-06-11",0
"2008-06-12",1.5114
"2008-06-13",0.0459
