,"(mm) Precipitation (CHIRPS) at Hambantota, 2007-01-01 to 2025-12-31"
"2007-01-01",0
"2007-01-02",0
"2007-01-03",0
"2007-01-04",0
"2007-01-05",0
"2007-01-06",0
"2007-01-07",0
"2007-01-08",0
"2007-01-09",48.1412
"2007-01-10",24.5769
"2007-01-11",82.8646
"2007-01-12",15.2898
"2007-01-13",0.2819
"2007-01-14",0
"2007-01-15",0
"2007-01-16",1.1486
"2007-01-17",3.656
"2007-01-18",1.3257
"2007-01-19",16.5104
"2007-01-20",0
"2007-01-21",3.4586
"2007-01-22",0
"2007-01-23",0
"2007-01-24",0
"2007-01-25",0
"2007-01-26",17.2388
"2007-01-27",13.0988
"2007-01-28",0
"2007-01-29",0
"2007-01-30",0
"2007-01-31",0
"2007-02-01",0
"2007-02-02",0.0001
"2007-02-03",0
"2007-02-04",0.2352
"2007-02-05",0
"2007-02-06",0
"2007-02-07",0
"2007-02-08",0
"2007-02-09",0
"2007-02-10",0.3415
"2007-02-11",0.8882
"2007-02-12",0.0462
"2007-02-13",0
"2007-02-14",0
"2007-02-15",0
"2007-02-16",0.0309
"2007-02-17",0.0027
"2007-02-18",0
"2007-02-19",2.7658
"2007-02-20",0
"2007-02-21",0
"2007-02-22",0
"2007-02-23",0.0219
"2007-02-24",7.708
"2007-02-25",14.1551
"2007-02-26",1.1474
"2007-02-27",0.8863
"2007-02-28",0.5491
"2007-03-01",0
"2007-03-02",0
"2007-03-03",0
"2007-03-04",0
"2007-03-05",0.0146
"2007-03-06",0
"2007-03-07",0
"2007-03-08",0
"2007-03-09",0
"2007-03-10",0
"2007-03-11",0
"2007-03-12",7.1576
"2007-03-13",0
"2007-03-14",0
"2007-03-15",0.9247
"2007-03-16",6.7087
"2007-03-17",2.7528
"2007-03-18",0
"2007-03-19",0.0944
"2007-03-20",0
"2007-03-21",0
"2007-03-22",0
"2007-03-23",0
"2007-03-24",11.9431
"2007-03-25",0
"2007-03-26",0
"2007-03-27",0
"2007-03-28",0
"2007-03-29",0
"2007-03-30",0.2065
"2007-03-31",7.3878
"2007-04-01",3.5486
"2007-04-02",1.128
"2007-04-03",12.5963
"2007-04-04",7.7659
"2007-04-05",30.7901
"2007-04-06",26.7786
"2007-04-07",19.9388
"2007-04-08",27.6087
"2007-04-09",23.0435
"2007-04-10",19.0247
"2007-04-11",10.8006
"2007-04-12",22.4254
"2007-04-13",14.3934
"2007-04-14",6.6072
"2007-04-15",2.7605
"2007-04-16",0.0071
"2007-04-17",0
"2007-04-18",0.5063
"2007-04-19",0.1475
"2007-04-20",0
"2007-04-21",0.5561
"2007-04-22",1.1158
"2007-04-23",6.0982
"2007-04-24",6.9411
"2007-04-25",2.6389
"2007-04-26",0.3316
"2007-04-27",6.2723
"2007-04-28",8.1598
"2007-04-29",2.8819
"2007-04-30",1.6798
"2007-05-01",0.2956
"2007-05-02",0
"2007-05-03",0.6856
"2007-05-04",0.5137
"2007-05-05",0.0011
"2007-05-06",0.0048
"2007-05-07",0
"2007-05-08",0
"2007-05-09",0.0033
"2007-05-10",0
"2007-05-11",0
"2007-05-12",1.0859
"2007-05-13",0
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",0
"2007-05-20",0
"2007-05-21",0
"2007-05-22",0
"2007-05-23",0
"2007-05-24",0.0452
"2007-05-25",0
"2007-05-26",0
"2007-05-27",0.7279
"2007-05-28",49.4951
"2007-05-29",0
"2007-05-30",0
"2007-05-31",0
"2007-06-01",2.6421
"2007-06-02",0
"2007-06-03",0.1199
"2007-06-04",0
"2007-06-05",3.5845
"2007-06-06",0
"2007-06-07",0.0997
"2007-06-08",0.4517
"2007-06-09",0
"2007-06-10",0
"2007-06-11",0
"2007-06-12",0.8548
"2007-06-13",0.8798
"2007-06-14",30.2891
"2007-06-15",5.9084
"2007-06-16",2.4098
"2007-06-17",4.0083
"2007-06-18",13.4049
"2007-06-19",11.0786
"2007-06-20",2.585
"2007-06-21",20.0052
"2007-06-22",6.5605
"2007-06-23",6.0345
"2007-06-24",0.0038
"2007-06-25",0
"2007-06-26",5.7784
"2007-06-27",4.0936
"2007-06-28",1.9104
"2007-06-29",7.5467
"2007-06-30",0
"2007-07-01",0
"2007-07-02",0.7443
"2007-07-03",0
"2007-07-04",2.799
"2007-07-05",0
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0
"2007-07-11",0
"2007-07-12",0
"2007-07-13",0
"2007-07-14",0.0809
"2007-07-15",1.0396
"2007-07-16",2.3601
"2007-07-17",0.1179
"2007-07-18",3.8982
"2007-07-19",0.3426
"2007-07-20",4.9733
"2007-07-21",0.094
"2007-07-22",0
"2007-07-23",17.8641
"2007-07-24",2.0782
"2007-07-25",0
"2007-07-26",0
"2007-07-27",0
"2007-07-28",0
"2007-07-29",9.1012
"2007-07-30",10.2155
"2007-07-31",0
"2007-08-01",3.1796
"2007-08-02",4.3204
"2007-08-03",7.3561
"2007-08-04",0.1876
"2007-08-05",0.0806
"2007-08-06",0
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0
"2007-08-10",0.4843
"2007-08-11",8.6787
"2007-08-12",0.0643
"2007-08-13",0.2713
"2007-08-14",0
"2007-08-15",0
"2007-08-16",0.1433
"2007-08-17",0
"2007-08-18",3.4495
"2007-08-19",0.0902
"2007-08-20",0
"2007-08-21",0.3508
"2007-08-22",0
"2007-08-23",8.7162
"2007-08-24",3.3456
"2007-08-25",2.4323
"2007-08-26",2.6461
"2007-08-27",0
"2007-08-28",6.9522
"2007-08-29",1.4467
"2007-08-30",14.9999
"2007-08-31",22.5196
"2007-09-01",0.447
"2007-09-02",11.8414
"2007-09-03",0
"2007-09-04",1.4436
"2007-09-05",3.2681
"2007-09-06",0
"2007-09-07",0.9719
"2007-09-08",0.0778
"2007-09-09",6.9944
"2007-09-10",0
"2007-09-11",0.1414
"2007-09-12",0.2095
"2007-09-13",8.1408
"2007-09-14",0.6591
"2007-09-15",8.3201
"2007-09-16",2.349
"2007-09-17",13.4817
"2007-09-18",4.4219
"2007-09-19",0.9418
"2007-09-20",0.8414
"2007-09-21",0.0697
"2007-09-22",7.1932
"2007-09-23",0
"2007-09-24",0
"2007-09-25",0.1481
"2007-09-26",0
"2007-09-27",1.4809
"2007-09-28",11.3434
"2007-09-29",0
"2007-09-30",0
"2007-10-01",2.6546
"2007-10-02",22.8053
"2007-10-03",13.4764
"2007-10-04",0.0286
"2007-10-05",5.5159
"2007-10-06",30.065
"2007-10-07",1.0411
"2007-10-08",0.6874
"2007-10-09",3.3735
"2007-10-10",0.3479
"2007-10-11",14.6901
"2007-10-12",0
"2007-10-13",0.0045
"2007-10-14",11.1579
"2007-10-15",7.698
"2007-10-16",5.1069
"2007-10-17",12.2051
"2007-10-18",12.9782
"2007-10-19",2.938
"2007-10-20",6.5599
"2007-10-21",7.5132
"2007-10-22",2.2756
"2007-10-23",6.9597
"2007-10-24",0.3632
"2007-10-25",11.4137
"2007-10-26",12.2395
"2007-10-27",8.3997
"2007-10-28",0.0163
"2007-10-29",0.0465
"2007-10-30",0
"2007-10-31",2.11
"2007-11-01",14.9931
"2007-11-02",4.7117
"2007-11-03",2.3417
"2007-11-04",13.3935
"2007-11-05",11.9341
"2007-11-06",6.481
"2007-11-07",18.1146
"2007-11-08",6.2881
"2007-11-09",7.0716
"2007-11-10",10.5911
"2007-11-11",9.3858
"2007-11-12",15.5979
"2007-11-13",10.7843
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",4.3103
"2007-11-20",1.246
"2007-11-21",8.5313
"2007-11-22",0.3335
"2007-11-23",0.2804
"2007-11-24",4.6138
"2007-11-25",3.57
"2007-11-26",2.9136
"2007-11-27",0
"2007-11-28",0
"2007-11-29",0.148
"2007-11-30",0
"2007-12-01",0
"2007-12-02",2.6244
"2007-12-03",2.5208
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",2.3386
"2007-12-08",5.4062
"2007-12-09",11.8782
"2007-12-10",4.8405
"2007-12-11",5.3072
"2007-12-12",20.1802
"2007-12-13",0.9696
"2007-12-14",23.3559
"2007-12-15",19.7154
"2007-12-16",17.7436
"2007-12-17",3.9252
"2007-12-18",3.3552
"2007-12-19",12.6836
"2007-12-20",14.8802
"2007-12-21",28.3077
"2007-12-22",12.3982
"2007-12-23",11.3174
"2007-12-24",0
"2007-12-25",0
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",2.6775
"2008-01-04",0.5669
"2008-01-05",0
"2008-01-06",3.2266
"2008-01-07",18.1473
"2008-01-08",20.8675
"2008-01-09",3.5791
"2008-01-10",11.1695
"2008-01-11",6.7148
"2008-01-12",4.9353
"2008-01-13",1.3709
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",6.9992
"2008-01-22",0.7346
"2008-01-23",0
"2008-01-24",4.3732
"2008-01-25",10.4596
"2008-01-26",3.1873
"2008-01-27",9.5133
"2008-01-28",2.2243
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0
"2008-02-02",0
"2008-02-03",0
"2008-02-04",0
"2008-02-05",0
"2008-02-06",18.1429
"2008-02-07",13.0948
"2008-02-08",6.261
"2008-02-09",0
"2008-02-10",0
"2008-02-11",0
"2008-02-12",1.7627
"2008-02-13",0.2378
"2008-02-14",1.4637
"2008-02-15",0
"2008-02-16",1.5295
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",1.8896
"2008-02-21",5.6025
"2008-02-22",1.3189
"2008-02-23",0
"2008-02-24",0
"2008-02-25",0
"2008-02-26",0
"2008-02-27",9.8525
"2008-02-28",4.714
"2008-02-29",0.6944
"2008-03-01",0
"2008-03-02",4.1001
"2008-03-03",11.7451
"2008-03-04",17.6689
"2008-03-05",7.9822
"2008-03-06",21.4944
"2008-03-07",3.8266
"2008-03-08",0.4607
"2008-03-09",21.8152
"2008-03-10",5.6269
"2008-03-11",27.8315
"2008-03-12",15.4805
"2008-03-13",1.251
"2008-03-14",25.9754
"2008-03-15",62.1371
"2008-03-16",18.9531
"2008-03-17",19.2905
"2008-03-18",2.0071
"2008-03-19",17.3463
"2008-03-20",2.599
"2008-03-21",0
"2008-03-22",0
"2008-03-23",0
"2008-03-24",6.6969
"2008-03-25",0.0046
"2008-03-26",1.4098
"2008-03-27",1.0553
"2008-03-28",4.6342
"2008-03-29",0.4926
"2008-03-30",0.5035
"2008-03-31",6.2989
"2008-04-01",2.548
"2008-04-02",10.0576
"2008-04-03",7.0369
"2008-04-04",5.6662
"2008-04-05",1.7596
"2008-04-06",9.2882
"2008-04-07",4.8585
"2008-04-08",11.3325
"2008-04-09",9.6313
"2008-04-10",17.8375
"2008-04-11",9.8426
"2008-04-12",3.1273
"2008-04-13",3.4978
"2008-04-14",0.9971
"2008-04-15",2.3202
"2008-04-16",18.5898
"2008-04-17",0
"2008-04-18",1.844
"2008-04-19",2.0237
"2008-04-20",0
"2008-04-21",0
"2008-04-22",1.725
"2008-04-23",11.809
"2008-04-24",11.2224
"2008-04-25",0.6665
"2008-04-26",2.5316
"2008-04-27",11.0224
"2008-04-28",27.5017
"2008-04-29",5.7375
"2008-04-30",0
"2008-05-01",0
"2008-05-02",0
"2008-05-03",0
"2008-05-04",0
"2008-05-05",0
"2008-05-06",0
"2008-05-07",0.8896
"2008-05-08",2.2917
"2008-05-09",8.6843
"2008-05-10",0
"2008-05-11",0
"2008-05-12",0.1385
"2008-05-13",0
"2008-05-14",0
"2008-05-15",0
"2008-05-16",0
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0
"2008-05-20",0
"2008-05-21",0
"2008-05-22",0.7666
"2008-05-23",0.2616
"2008-05-24",0
"2008-05-25",0
"2008-05-26",0.3921
"2008-05-27",1.012
"2008-05-28",4.7583
"2008-05-29",14.5608
"2008-05-30",1.3764
"2008-05-31",0
"2008-06-01",11.6985
"2008-06-02",1.7922
"2008-06-03",0.6996
"2008-06-04",0
"2008-06-05",0
"2008-06-06",0.0572
"2008-06-07",15.7288
"2008-06-08",13.1448
"2008-06-09",7.5786
"2008-06-10",0.0649
"2008-06-11",0.0386
"2008-06-12",0.2881
"2008-06-13",0
"2008-06-14",2.3576
"2008-06-15",2.9249
"2008-06-16",0.026
"2008-06-17",14.6172
"2008-06-18",1.1702
"2008-06-19",0
